CERTIFICATIONID,NCIC,AGENCY,JUSTICE,TREASURY
"162,922",VA122015A,Comm of VA Office of Attorney General,,"150,000"
"162,904",AL0011200,Hoover Police Department,"1,301",
"162,899",VA122015A,Virginia Office of the Attorney General,,"77,000"
"162,897",FL0530000,Polk County Sheriff's Office,"3,953",
"162,889",FL0440000,Monroe County Sheriffs Office - Key West Florida,"70,000",
"162,889",FLEQ00213,South Florida Money Laundering Strike Force - Miami Florida,,"72,800"
"162,858",FL04800I0,Metropolitan Bureau of Investigation,"28,660","70,070"
"162,842",FL0060000,Broward Sheriff's Office,353,617
"162,799",IL016C400,Illinois State Police-NARCINT,"12,998",
"162,770",GAEQ00104,MCS Narcotics and Organized Crime,"43,173",
"162,765",MI6397505,Chiefs Task Force,"45,237",
"162,754",TX1810000,Orange County Sheriff's Office,,"4,322"
"162,702",ILEQ00030,East Central IL Safe Streets Task Force,"5,242",
"162,635",IA0170300,NORTH CENTRAL IOWA NARCOTICS TASK FORCE,"2,500",
"162,590",AL0480700,17th Judicial Circuit Drug Task Force,"17,760",
"162,581",VAVTF0802,Blue Ridge Narcotics and Gang Task Force,"4,011",
"162,578",CA0570700,Yolo County Narcotic Enforcement Team (YONET),,"12,170"
"162,526",VAVTF0101,Central Virginia Regional Narcotics Task Force,112,
"162,511",NE0009466,MADISON COUNTY,"3,613",
"162,470",VTVSP0000,"VT State Police, Department of Public Safety",196,
"162,468",VTVSP0000,VT Dept of Public Safety/VT Drug Task Force,"1,331",
"162,462",KY0130100,Kentucky State Police,"12,500",
"162,452",CT0003702,Valley Street Crime Unit,"5,662",
"162,448",MO0950000,ST. LOUIS COUNTY DRUG TASK FORCE,"10,452",
"162,442",CA0190036,Los Angeles County Sheriff's Department,"8,774",
"162,436",VA122015A,Commonwealth of VA's Office of the Attorney General,,"197,658"
"162,344",VA122015A,Office of the Attorney General,,"5,413"
"162,331",FL0440000,Monroe County Sheriffs,"28,247","217,870"
"162,313",VA122015A,Attorney General of Virginia,,"13,532"
"162,311",VA122015A,Attorney General of Virginia,,"13,532"
"162,278",IN0330000,HENRY COUNTY SHERIFF'S DEPARTMENT,"76,936",
"162,275",VAVTF0101,Central VA Regional Narcotics Task Force,112,
"162,274",VAVTF0101,Central VA Regional Narcotics Task Force,18,
"162,264",GAGSP0000,"Georgia State Patrol, Newnan, Georgia","1,428",
"162,253",CA0030000,Amador County Sheriff's Office,"269,282",
"162,210",TX1810000,Orange County Sheriff,,"4,322"
"162,209",FL0480010,Metropolitan Bureau of Investigation,"2,202","4,190"
"162,193",VA122015A,Office of the Attorney General,,"138,163"
"162,175",CA0360075,IRNET TASK FORCE,"308,225",
"162,175",CAEQ00281,INCA,,"43,232"
"162,146",MI8218200,Wayne County Sheriff's Department,"102,348",
"162,146",MIICE0S00,Department of Homeland Security ICE,,"19,366"
"162,143",FL0480010,Metropolitan Bureau of Investigation,"47,321",
"162,111",TX0920400,City of Kilgore Police Department,"32,709",
"162,031",CA0190036,"County of Los Angeles, Sheriff's Department","11,659",
"162,015",ILEQ00030,EISSTF,"16,198",
"162,013",AZ0110000,Pinal County Narcotics Task Force,,"5,687"
"162,004",NY051013A,SUFFOLK COUNTY DISTRICT ATTORNEY,"16,400",
"161,923",WV0230900,U.S. 119 Task Force,"4,615",
"161,817",NMTF01003,Middle Rio Grande Valley Task Force,"20,000",
"161,808",VA122015A,Office of the Attorney General,,"62,315"
"161,806",KSKHP0500,Kansas Highway Patrol,"4,600",
"161,754",VA122015A,Office of the Virginia Attorney General,,"2,706"
"161,710",CA0349496,Division of Law Enforcement - California Department of Justice,"4,373",
"161,692",VT0140200,Springfield Police Department,"2,364",
"161,669",VA122015A,Office of the Attorney General,,"10,825"
"161,659",VAVTF0802,Blue Ridge Narcotics and Gang Task Force,"5,131",
"161,656",KY0240600,PENNYRILE NARCOTICS TASK FORCE,,"8,426"
"161,612",IA0850000,Story County Sheriff's Office,317,
"161,601",MOO950000,ST LOUIS COUNTY MULTI JURIDICTIONAL DRUG TASK FORCE,"13,002",
"161,590",RI0040700,North Providence,"62,000",
"161,553",GA0110100,Macon Police Department,"53,823",
"161,550",NY030023A,DEA/HIDTA NEW YORK OFFICE,"16,000",
"161,545",CA0192KOX,L.A. Impact,"10,050",
"161,545",CA0349496,California DOJ - Division of Law Enforcement,"1,687",
"161,545",CA0360000,San Bernardino County Sheriff's Department,"13,653",
"161,506",GAEQ00104,Marietta/Cobb/Smyrna Narcotic Task Force,,"17,989"
"161,492",CA0300045,Regional Narcotics Suppression Program,"125,379",
"161,481",CAEQ00281,Inland Crackdown Allied Task Force,,"14,541"
"161,478",SC0260900,15th Circuit Solicitor's Drug Enforcement Unit,"19,496",
"161,469",CA0450000,Shasta County Sheriff's Office,"15,785",273
"161,466",CAEQ00281,INCA Task Force,,"21,616"
"161,459",AKAST0100,Alaska State Troopers,"1,610",
"161,455",NM0010003,U.S. DEPARTMENT OF HOMELAND SECURITY,"21,491",
"161,454",CA0013700,Alameda County Narcotics Task Force,"15,928",
"161,437",VA122015A,Office of the Attorney General,,"59,540"
"161,434",VA122015A,Attorney General,,"101,429"
"161,434",VA122015A,Attorney General,,"289,860"
"161,434",VAICE0600,Homeland Security,,"12,988"
"161,434",VAVTF0101,Central Virginia Multi-Jurisdictional Grand Jury and Narcotics Task Force,112,
"161,424",CA0190036,Los Angeles County Sheriff,"46,431","19,315"
"161,424",CA0193800,LA Impact,"21,047","20,325"
"161,403",SC0260900,15th Circuit Drug Enforcement Unit,"132,890",
"161,400",UT0180000,Unified Police Department of Greater Salt Lake,"60,000",
"161,396",WV0203600,Metropolitan Drug Enforcement Network Team,"34,300",
"161,389",VA122015A,Office of Attorney General,,"5,413"
"161,387",GAEQ00104,Marietta Cobb Smyrna [MCS] Narcotics,,"35,977"
"161,378",CA0300045,Regional Narcotics Suppression Program,"90,997",
"161,374",NY030023A,"DISTRICT ATTORNEY, NEW YORK COUNTY",658,"189,444"
"161,374",NY030043J,OFFICE OF SPECIAL NARCOTICS,"1,459,574","122,435"
"161,372",VA122015A,Office of the Attorney General,,"175,004"
"161,366",VA122015A,Office of Attorney General,,"18,945"
"161,364",WV0200200,Charleston (wv) Police Dept.--Metro Drug Enforcement Team--M Dent,"21,232",
"161,363",VA122015A,Virginia Office of Attorney General,,"169,827"
"161,363",VAVSP0000,Virginia State Police,"17,227",
"161,334",VA0750300,"Prince William County Police Dept, VA","13,720",459
"161,334",VA122015A,VA Office of the Attorney General,,"62,246"
"161,331",CA0501800,Stanislaus County Drug Enforcement Agency,"23,760",
"161,330",CA0192K0X,"L.A. IMPACT, CITY OF LAVERN, CALIFORNIA","21,047",
"161,326",VA122015A,Office of Attorney General,,"124,022"
"161,322",CA0360075,Inland Regional Narcotics Enforcement Team,"3,798",
"161,320",VA122015A,OAG,,"144,112"
"161,317",VA122015A,Virginia Attorney General & Department of Law,,"21,651"
"161,313",CA0192KOX,L.A. IMPACT,"105,525",
"161,305",VA122015A,Attorney General & Department of Law,,"141,612"
"161,304",TX1082700,Hidalgo County HIDTA Task Force,,"10,000"
"161,281",VA122015A,Virginia Attorney General's Office,,"78,484"
"161,275",CA0570700,Yolo County DA - YONET,,"1,891"
"161,258",VA122015A,Office of the Attorney General,,"176,635"
"161,255",CAEQ00315,Mountain and Valley Marijuana Investigation  Team,"10,313","24,904"
"161,241",ILEQ00030,Federal Bureau of Investigation Eastern Illinois Safe Streets Task Force,"15,603",
"161,240",VA122015A,Office of the Attorney General,,"13,532"
"161,235",VA122015A,Commonwealth of Virgina Office of the Attorney General,,"10,825"
"161,231",VA122015A,Office of Attorney General,,"169,593"
"161,226",CA0190036,Los Angeles County Sheriff's Department,"2,748",
"161,225",VA122015A,Attorney General,,"16,238"
"161,224",VA122015A,Virginia Attorney Generals Office,,"3,911"
"161,223",VA122015A,Office of the Attorney General,,"8,119"
"161,209",CA0340496,State of California Bureau of Investigation,"17,156",
"161,200",VA122015A,Commonwealth of Virginia Office of the Attorney General,,"250,616"
"161,199",VA122015A,"Commonwealth of Virginia, Office of the Attorney General",,"5,413"
"161,191",VA122015A,Commonwealth of VA Office of Attorney General,,"50,000"
"161,189",VA122015A,Office of the Attorney General of Virginia,,"8,119"
"161,185",CA0360075,Inland Regional Narcotics Enforcement Team,"273,403",
"161,185",CAEQ00281,Inland Crackdown Allied Task Force,,"21,616"
"161,183",VA122015A,"Office of the Attorney General, Richmond VA",,"71,453"
"161,180",MA009015A,MIDDLESEX DISTRICT ATTORNEY,"38,168",
"161,179",FLEQ00213,South Florida Money Laundering Strike Force,"35,966","29,254"
"161,178",VA122015A,Office of the Attorney General,,"55,000"
"161,178",VA122015A,Office of the Attorney General,,"241,728"
"161,176",VA122015A,Office of the Attorney General,,"16,238"
"161,174",CA0300045,Orange County Regional Narcotics Suppression Program,"142,930",
"161,171",VA122015A,Office of the Attorney General,,"59,461"
"161,171",VAVSP0000,Virginia State Police,"1,376",
"161,169",VA122015A,Office of the Attorney General,,"13,532"
"161,160",CA0013700,Alameda County Narcotics Task Force,"15,928",
"161,153",CA0192KOX,L.A. IMPACT,"10,050",
"161,152",VA122015A,VA Office of the Attorney General,,"251,025"
"161,149",VA122015A,VA Office of the Attorney General,,"5,413"
"161,147",MI6397597,OAKLAND COUNTY NARCOTICS ENFORCEMENT TEAM,,"34,989"
"161,138",ILEQ00030,Eastern Illinois Safe Streets Task Force,"15,042",
"161,130",KY0567600,METRO NARCOTICS TASK FORCE,"1,085,277",
"161,116",VAVTF0802,Blue Ridge Narcotics and Gang Task Force,"5,131",
"161,115",ILEQ00030,Eastern Illinois Safe Streets Task Force,"7,761",
"161,114",VA122015A,"Virginia Office of the Attorney General, Richmond, VA",,"29,639"
"161,114",VAVTF0101,"Central Virginia Regional Narcotics Task Force, Chester, VA",112,
"161,112",VA122015A,Office of the Attorney General,,"10,825"
"161,111",VA122015A,Attorney General's Office,,"18,945"
"161,110",GAGSP0000,Georgia State Patrol,"4,928",
"161,108",VA122015A,Office of the Attorney General,,"8,119"
"161,105",WV0203600,Metro Drug Enforcement Network Team/Charleston P.D.,"13,278",
"161,091",VA122015A,"Office of Attorney General, Commonwealth of Virginia",,"199,794"
"161,090",VA122015A,OAG-VA,,"5,413"
"161,089",VA122015A,Commonwealth of Virginia Office of the Attorney General,,"10,825"
"161,081",CA0190036,"Los Angeles County Sheriff CAL-MMET, Monterey Park, CA","46,431","19,315"
"161,081",CA0192KOX,"LAIMPACT Commerce, CA","119,720",
"161,073",CA0190036,LOS ANGELES COUNTY SHERIFF'S DEPARTMENT,"46,431","19,315"
"161,073",CA0192KOX,LOS ANGLES INTERAGENCY METROPOLITAN POLICE APPREHENSION CRIME TASKFORCE,"21,047",
"161,069",CA0300045,OC SHERIFF REGIONAL NARCOTICS SUPPRESSION PROGRAM,"2,940,045","7,216"
"161,069",CA0360075,INLAND REGIONAL NARCOTICS ENFORCEMENT TEAM,"13,674",
"161,066",OR0SP0000,Oregon State Police,,"1,726"
"161,065",CA0570700,YONET - Yolo County Narcotics Enforcement Team,,"12,170"
"161,064",VA122015A,Office of the Attorney General,,"10,825"
"161,063",CA0300045,Regional Narcotics Suppression Program,"716,358",
"161,062",CA0190036,Los Angeles Sheriff's Department,"45,064",
"161,062",CA0360075,Inland Regional Narcotic Enforcement Team (IRNET),"65,860",
"161,060",CA0192KOX,LA IMPACT,"31,613",
"161,055",CA0300045,Regional Narcotics Suppression Program,"17,551",
"161,050",CA0190036,COUNTY OF LOS ANGELES,"46,431","19,315"
"161,050",CA0192KOX,"L.A. Impact, C/O CITY OF LA VERNE POLICE DEPT., CA 91720","54,211",
"161,048",CAEQ00035,SAN MATEO COUNTY NARCOTICS TASK FORCE,"475,332",
"161,046",IA0310100,ICE,,"15,310"
"161,046",IA0310100,IRS,,"41,150"
"161,044",CA0192300,MANHATTAN BEACH POLICE DEPARTMENT,,"10,533"
"161,044",CA0195600,REDONDO BEACH POLICE DEPARTMENT,,"26,975"
"161,040",CA0349496,"California Department of Justice, BNE","15,261",
"161,039",CAEA00118,City of Palm Springs Narcotics Task Force,"52,807",
"161,037",VA122015A,Office of the Attorney General,,"2,706"
"161,036",VA122015A,Office of the Attorney General - Virginia,,"2,706"
"161,025",NY030023A,"District Attorney New York County, New York, NY",658,"189,444"
"161,025",NY030043J,"Office of Special Narcotics, New York, NY","855,351","71,738"
"161,018",VA122015A,US Treasury Federal Asset Forfeiture Funds,,"462,041"
"161,010",VA122015A,Office of the Attorney General,,"10,825"
"161,007",VTVSP0000,Vermont State Police Drug Task Force,"1,930",
"161,003",VA122015A,Attorney General of Virginia,,"13,532"
"160,999",NV0020100,Las Vegas Metropolitan Police Department,"6,337",
"160,992",FL0010000,Alachua County Sheriff's Office,"29,290",
"160,992",FL0060000,Broward County Sheriff's Office,"68,606","4,740"
"160,992",FL04800I0,Metropolitan Bureau of Investigation,"3,082","4,721"
"160,990",VA122015A,OFFICE OF ATTORNEY GENERAL OF VIRGINIA,,"10,825"
"160,987",CA0192KOX,L A Impact,"2,774",
"160,983",VA122015A,Attorney General's Office,,"21,651"
"160,977",CA0192KOX,LA IMPACT,"180,900",
"160,975",VAVTF0802,Blue Ridge Narcotics & Gang Task Force,"5,131",
"160,974",CA0349496,"Bureau of Narcotics, DOJ","15,261",
"160,966",CA0360700,Ontario Police Department,"117,922",662
"160,965",VA122015A,"Virginia Attorney General's Office, Richmond, Virginia",,"5,413"
"160,962",VA122015A,Office of the Attorney General,,"64,953"
"160,946",TN0190100,The Metropolitan Government of Nashville and Davidson County TN,"12,534",
"160,932",VA1220000,Richmond Police Dept,"12,604",
"160,932",VA122015A,Office of the Attorney General,,"689,495"
"160,932",VAVTF0101,Central Virginia Regional Narcotics Task Force,112,
"160,931",CA0349496,CA-California Division of Law Enforcement,"20,348",
"160,927",CA0570310,Yolo County Narcotic Enforcement Team,,"12,170"
"160,924",VA122015A,Office of the Attorney General,,"82,249"
"160,917",MI8218200,"CHIEF Agencies/Wayne CO. Sheriff, Detroit, MI 48226","261,994",
"160,915",CA1090036,Los Angeles County Sheriff's Department,"46,027",
"160,904",VA122015A,OFFICE OF THE ATTORNEY GENERAL,,"168,837"
"160,902",VA122015A,OAG US Treasury Federal Asset Forfeiture Funds,,"471,977"
"160,899",VA122015A,OFFICE OF ATTORNEY GENERAL,,"30,800"
"160,895",CA0192KOX,L.A. Impact,"10,050",
"160,893",VA122015A,Office of the Attorney General,,"51,375"
"160,890",CA0431600,Sunnyvale Police Department,"17,549","75,045"
"160,889",CA0360075,"IRNET / San Bernardino Co. Sheriff's Dept. 655 E. 3rd St., San Bernardino , CA","274,783",
"160,887",CAE200281,INCA Task Force,,"110,588"
"160,882",CA0349496,California DOJ - Regional Law Enforcement,,"21,616"
"160,882",CA0360075,Inland Regional Narcotics Enforcement Team (IRNET),"279,744",
"160,879",CA0192K0X,LA Impact,"21,047",
"160,877",VA122015A,"Office of the Attorney General, Richmond, VA",,"5,413"
"160,872",NY030043J,"Office of the Special Narcotics, NYC, NY","2,169,785","190,248"
"160,872",NY1010000,New York State Police,"16,000,000",
"160,869",ND0090000,"Cass County, Fargo, ND","22,094",
"160,869",ND0510000,"Ward County, Minot, ND","1,525",
"160,862",VA122015A,Office of the Attorney General,,"8,119"
"160,857",VA122015A,OAG,,"10,825"
"160,846",VA122015A,Office of Attorney General,,"40,595"
"160,844",NY030023A,District Attorney of New York County,658,"189,444"
"160,844",NY030043J,Special Narcotics Prosecution of NYC,"1,783,765","149,885"
"160,841",VA122015A,Office of the Attorney General,,"447,071"
"160,838",VA122015A,VA Office of the Attorney General,,"151,681"
"160,833",351640920,US Customs & Border Protection Group (CBP),,"6,650"
"160,828",VA122015A,Office of the Attorney General,,"10,825"
"160,824",NY0270400,Greater Rochester Area Narcotics Enforcement Team,"376,957",
"160,809",CA0192KOX,LA IMPACT,"20,325",
"160,809",CA0192KOX,LA IMPACT,"20,100",
"160,809",CA0192KOX,LA IMPACT,"21,995",
"160,808",IAEQ00184,Johnson County Multi Agency Drug Task Force,"21,437",
"160,795",KY0400100,FADE Task Force,,"1,701"
"160,793",CA0192KOX,City of La Verne,"20,482",
"160,790",SC0260900,Horry County 15TH Judicial Circuit Drug Enforcement Unit,"32,494",
"160,784",VA122015A,Attorney General & Dept of Law,,"2,706"
"160,759",CAEQ00281,Inland Crackdown Allied Task Force,,"14,541"
"160,758",CA0360075,San Bernardino County Sheriff's Dept - IRNET,"274,490",
"160,756",CA0013700,"Alameda County Sheriff's Office, Oakland  CA","15,928",
"160,737",TN0792000,WEST TN. DRUG TASK FORCE,"22,897",
"160,734",CA0360000,SBCSD,"7,199",
"160,734",CA0360075,IRNET,"21,745",
"160,733",MT0560100,City of Billings,"17,719",
"160,720",IAEQ00184,Johnson County Multi Agency Drug Task Force,"21,437",
"160,715",CA0501800,STANISLAUS DRUG ENFORCEMENT AGENCY,994,
"160,711",CA0192KOX,"LA IMPACT, Commerce, CA","10,050",
"160,710",CA0360400,City of Fontana Police Department,"17,684",
"160,708",AKAST0100,"State of Alaska DPS, State Troopers","4,693",
"160,698",VA122015A,Office of the Attorney General,,"5,413"
"160,694",FL0060000,"Broward County Sheriff's Department, Ft. Lauderdale, FL",,"2,727"
"160,690",CA0360075,Inland Regional Narcotics Enforcement Team/IRNET,"98,931",
"160,682",VA122015A,"Office of Attorney General, Richmond, VA",,"28,500"
"160,680",VA122015A,"Office of Attorney General, Richmond, Virginia",,"13,532"
"160,677",CA0300045,Orange County Regional Narcotics Suppression Program,"125,379",
"160,667",VA122015A,VA Attorney General Office,,"13,532"
"160,653",CA037023A,"Office Of the District Attorney, County of San Diego, CA","5,858",
"160,648",VA122015A,"Commonwealth of Virginia, Office of the Attorney General",,"13,532"
"160,638",VA122015A,Office of the Attorney General,,"10,825"
"160,635",WVWSP0007,West Virginia State Police,"145,129",
"160,633",VA122015A,US TREASURY FEDERAL ASSET FORFEITURE FUNDS,,"16,238"
"160,629",VA122015A,Office of the Attorney General,,"205,000"
"160,625",WV0230900,US 119 Task Force,"1,250",
"160,620",CA0192K0X,LA IMPACT,"73,708",
"160,617",CA0300045,Regional Narcotics Suppression Program,"90,997",
"160,616",CA0192KOX,L.A. IMPACT,"21,047",
"160,609",VA122015A,"Office of the Attorney General, Richmond, VA",,"86,798"
"160,592",MI8218200,FBI CHIEF Task Force,"96,470",
"160,591",CA0360000,San Bernardino County Sheriff,"56,552",
"160,591",CA0360075,Inland Regional Narcotics Enforcement Team (IRNET),"321,098",
"160,589",MO0950000,St. Louis County Drug Task Force,"10,452",
"160,588",CA0570700,YONET,,"1,891"
"160,587",CA0450000,NSI Cal-MMet,"35,958",
"160,576",MI4114100,KENT COUNTY SHERIFF`S DEPARTMENT,"8,758",
"160,572",CA0450000,NSI Cal-MMet,"56,407",
"160,551",VA122015A,Office of Attorney General ,,"2,706"
"160,543",VA122015A,Office of the Attorney General,,"36,136"
"160,537",MA005015A,Eastern District Attorney's Office,"92,060",
"160,528",VAVTF0802,Blue Ridge Narcotics and Gang Task Force,"1,672",
"160,528",VAVTF0802,Blue Ridge Narcotics and Gang Task Force,"1,985",
"160,528",VAVTF0802,Blue Ridge Narcotics and Gang Task Force,"1,475",
"160,526",VA122015A,VA Office of the Attorney General,,"2,081,000"
"160,519",MO0460010,South Central Drug Task Force,"25,000",
"160,518",VA122015A,Office of the Attorney General,,"249,480"
"160,507",VAVSP0000,VIRGINIA STATE POLICE,"149,947",
"160,506",VA122015A,Virginia Office of the Attorney General,,"348,250"
"160,504",VA122015A,OAG-VA,,"140,774"
"160,496",CA0501800,Stanislaus Drug Enforcement Agency,"8,382",
"160,494",CA0501800,STANISLAUS COUNTY DRUG ENFORCEMENT AGENCY,"2,403",
"160,489",CA0013700,Alameda County Narcotic Task Force,"15,928",
"160,488",VA122015A,Virginia Office of the Attorney General,,"503,648"
"160,487",VA122015A,Office of the Attorney General,,"191,370"
"160,487",VA122015A,Office of the Attorney General,,"1,494,787"
"160,477",NJ013013A,Office of the County Prosecutor County of Monmouth,"63,250",
"160,471",VA122015A,"Commonwealth of Virginia, Office of the Attorney General",,"94,723"
"160,469",VA122015A,Office of Attorney General,,"107,177"
"160,466",VA122015A,VIRGINIA ATTORNEY GENERAL'S OFFICE,,"18,945"
"160,463",VA122015A,OAG,,"11,450"
"160,461",VA122015A,"Office of the Attorney General of Virginia, Richmond, VA",,"8,119"
"160,458",VA122015A,OAG,,"24,357"
"160,453",VA122015A,Office of Attorney General,,"10,825"
"160,440",VA122015A,Office of the Attorney General,,"155,234"
"160,439",NY030023A,New York County District Attorney,"287,550","70,530"
"160,439",NY030043J,NYC Special Narcotics Prosecutor,"437,296","36,656"
"160,432",NCICE03T7,Homeland Security Investigations,,"158,113"
"160,416",CA0192KOX,L.A. Impact,"10,997",
"160,413",CA0190036,Los Angeles County Sheriff's Dept.,"2,149",
"160,411",COEQ00065,Front Range Task Force,"10,874",
"160,396",VA122015A,Office of the Attorney General,,"16,238"
"160,393",CA0190036,LA SHERIFF'S OFFICE,"14,095",
"160,381",VA122015A,US Attorney General,,"5,413"
"160,379",VA122015A,US Treasury Federal Asset Forfeiture Funds,,"13,532"
"160,371",CA0450000,Shasta County Sheriff's Office,"184,208",
"160,364",CA0560000,Shasta County Sheriff's Office,"6,633",
"160,363",TN0490600,25th Judicial Drug Task Force,"9,448",
"160,362",VA122015A,Office of the Attorney General,,"8,119"
"160,352",CA0192LOX,L.A. Impact,"63,226",
"160,351",VA122015A,US TREASURY FEDERAL ASSET FORFEITURE FUNDS,,"16,238"
"160,349",IAEQ00184,Johnson County Multi Agency Task Force,"6,305",
"160,346",DCICE0000,Dept. of Homeland Security/ICE Investigations,,"3,702"
"160,346",FL0480010,Metropolitan Bureau of Investigations,"8,579","16,572"
"160,342",VA122015A,Office of the Attorney General,,"2,706"
"160,340",VA122015A,Office of the Attorney General,,"21,651"
"160,338",CA033013A,RIVERSIDE COUNTY DISTRICT ATTORNEY,"55,205",
"160,338",WIQNGCD26,WISCONSIN NATIONAL GUARD-DEA NATIONAL TAKEBACK,"10,000",
"160,329",CA0480080,Solano County Narcotics Enforcement Team,"4,035",321
"160,320",CA019280X,L. A. IMPACT,"105,404",
"160,318",CO0038000,Front Range Task Force Federal Property Confiscation,"26,683",
"160,306",VA122015A,OFFICE OF ATTORNEY GENERAL OF VIRGINIA,,"265,000"
"160,306",VAVTF0101,CENTRAL VA REGIONAL NOARCOTICS TASK FORCE,112,
"160,303",GA038015A,Coweta County District Attorney,"25,000",
"160,303",GAQNGCD02,Department of Defense,"13,522",
"160,299",VA122015A,OFFICE OF ATTORNEY GENERAL OF VIRGINIA,,"10,825"
"160,299",VAVTF0101,CENTRAL VA REGIONAL NOARCOTICS TASK FORCE,18,
"160,297",FL0060000,Broward County Sheriff's Office,"16,713","4,740"
"160,297",FL0480010,Metropolitan Bureau of Investigations,"4,719","10,148"
"160,297",FL0530000,Polk County Sheriff's Office,"2,242",
"160,297",FL0640000,Monroe County Sheriff's Office,949,
"160,295",CA0190036,County of Los Angeles Sheriff's Department,"17,508",
"160,294",VA1020200,JADE Task Force,"11,117",
"160,294",VA122015A,Office of the Attorney General,,"6,248,689"
"160,294",VAVTF0101,Central Virginia Regional Narcotics Task Force,112,
"160,294",VAVTF0802,Blue Ridge Task Force,"5,131",
"160,293",AKAST0100,STATE OF ALASKA,"4,693",
"160,274",VA122015A,Office of the Attorney General,,"59,540"
"160,273",CA0190036,LASD,"2,765",
"160,266",CA0450000,Shasta County Sheriff's Office,"85,939",
"160,247",VA122015A,Office of Attorney General,,"10,825"
"160,242",CA0300000,Orange county Sheriff's Department,"8,743",
"160,233",CA0560000,County of Ventura,"6,642",
"160,222",VA122015A,Office of the Attorney General,,"73,072"
"160,213",MO0460000,Howell County Sheriffs Department,"3,000",
"160,204",VA122015A,Office of the Attorney General,,"5,413"
"160,199",CA0192KOX,"L.A. Impact, Commerce, CA 90040","25,000",
"160,178",KY0100400,FIVCO/FADE Task Force,,"1,701"
"160,168",VA122015A,Office of the Attorney General,,"76,294"
"160,148",VA122015A,Office of the Attorney General,,"10,825"
"160,140",CA0192K0X,Los Angeles Interagency Metropolitan Police Apprel,"21,047",
"160,139",CA0560000,"Ventura County Sheriff's Dept. & Combined Task Force 800 S. Victoria Ave. Ventura, CA 93009","13,285",
"160,137",VA100011A,"Commonwealth's Attorney - City of Bristol, VA","49,215",
"160,136",VA100011A,"Commonwealth's Attorney - City of Bristol, VA","16,067",
"160,124",CA0450000,Shasta County Sheriff's Office,"111,731",
"160,117",VA092013A,TAZEWELL COUNTY COMMONWEALTH ATTORNEY,,"45,210"
"160,117",VA122015A,COMMONWEALTH OF VIRGINIA ATTORNEY GENERAL,,"109,260"
"160,113",CA0360700,City of Ontario,"23,416",221
"160,110",VA122015A,Commonwealth of Virginia Office of the Attorney General,,"92,090"
"160,077",MDMSP1100,Metropolitan Area Drug Task Force,"25,000",
"160,075",IAEQ00184,Johnson County Multi Agency Drug Task Force,"21,437",
"160,055",CA0488008,Solano County Narcotic Enforcement Team,"4,035",321
"160,049",VA122015A,Office of the Attorney General,,"10,825"
