CERTIFICATIONID,NCIC,AGENCY,JUSTICE,TREASURY
"162,155",CT0014600,Vernon CT Police,835,
"161,986",CA0130200,Calexico Police Department,,"14,541"
"161,986",CA0330000,Riverside County Sheriff's Department,,"21,616"
"161,986",CA0330200,Beaumont Police Department,,"14,541"
"161,986",CA0331300,Riverside Police Department,,"64,848"
"161,986",CA0331500,Corona Police Department,,"14,541"
"161,986",CA0332A00,California Alcoholic Beverage,,"21,616"
"161,986",CA0334200,Murrieta Police Department,,"21,616"
"161,986",CA0361000,San Bernardino Police Department,,"43,232"
"161,923",WV0230900,U.S. 119 Task Force,"145,129",
"161,710",CA0090000,EL DORADO COUNTY SHERIFF,,295
"161,710",CA0310000,PLACER COUNTY SHERIFF,,295
"161,710",CA0340000,SACRAMENTO COUNTY SHERIFF,,295
"161,710",CA0340356,CALIFORNIA DEPARTMENT OF CORRECTIONS & REHABILITATION,,295
"161,710",CA0341900,CALIFORNIA DEPARTMENT OF FISH AND GAME,,295
"161,710",CAEQ00317,PLACER COUNTY DISTRICT ATTORNEY'S OFFICE,,295
"161,651",CAO410000,SAN MATEO COUNTY SHERIFF'S OFFICE,"475,332",
"161,649",GA0281000,Cherokee County,,"175,265"
"161,649",GA0570400,City of Rome,,"27,442"
"161,649",GA0680000,Mountain Judicial Court,,"8,321"
"161,649",GAGSP0000,GA Department of Public Safety,,"13,522"
"161,604",NM0010100,Albuquerque Police Department,"20,000",
"161,604",NM0230000,Sandoval County Sheriff's Office,"20,000",
"161,604",NM0230600,City of Rio Rancho Police Department,"20,000",
"161,604",NM0320000,Valencia County Sheriff's Department,"20,000",
"161,559",AK0010200,City of Fairbanks,"4,163",
"161,559",AK0010800,City of Seward,"2,347",
"161,559",AK0011600,City of Kotzebue,"1,610",
"161,559",AK0011700,City of Palmer,"4,711",
"161,559",AK0012000,City of Soldotna,"4,693",
"161,559",AK0012200,City of Homer,"2,347",
"161,559",AK0012300,Kenai Police Departement,"4,693",
"161,559",AK0013200,City of North Pole,"4,163",
"161,559",AK0015600,City of Wasilla,"4,711",
"161,551",GA0110000,Bibb County Sheriff's Office,"53,823",
"161,516",CA0470000,Siskiyou County Sheriff,"62,213",
"161,395",WV0200000,Kanawha County Sheriff Department,"14,700",
"161,395",WV0200200,City of Charleston Police Department,"34,300",
"161,395",WV0200400,Nitro Police Department,"4,900",
"161,395",WV0200500,St. Albans Police Department,"4,900",
"161,395",WV0200600,South Charleston Police Department,"21,232",
"161,317",VA0920000,Tazewell County Sheriff's Office,,"110,353"
"161,317",VA0920100,Bluefield Police Department,,"10,000"
"161,317",VA0920300,Richlands Police Department/Tazewell County Narcotics Task Force,"2,200","45,210"
"161,313",CA00281ZZ,City of Lynwood,"3,183",
"161,313",CA01900W9,City of Palmdale,"14,095",
"161,313",CA019153A,LA County District Attorney,,"1,692"
"161,313",CA0191700,City of Cudahy,"46,027",
"161,313",CA0191800,Culver City,"46,431","19,315"
"161,313",CA0191900,City of Cerritos,"2,353",
"161,313",CA0192500,City of Glendale,"46,431","19,315"
"161,313",CA0192600,City of Glendora,"46,431","19,315"
"161,313",CA0193800,City of La Verne,"46,431","19,315"
"161,313",CA0194900,City of Norwalk,"2,149",
"161,313",CA034025Y,Franchise Tax Board,"39,850",
"161,313",CA0360400,City of Fontana,"46,431","19,315"
"161,313",CAEQ01940,City of Santa Clarita,"21,012",
"161,297",MI6316300,Oakland County Sheriff,"2,272",
"161,271",CA0370000,San Diego Sheriff's Office,"1,938",
"161,237",CA0500000,Stanislaus County Sheriff,"12,936",
"161,237",CA0500100,City of Ceres,"5,372",
"161,237",CA0500200,City of Modesto,"23,760",
"161,237",CA0500500,City of Patterson,"2,403",
"161,237",CA0500600,City of Riverbank,"2,671",
"161,237",CA0500700,City of Turlock,"8,382",
"161,237",CA0500800,City of Waterford,994,
"161,211",CA0330000,Riverside Sheriffs Department,"27,699",
"161,209",CA0130200,"Calexico Police Department, Calexico, CA","96,047",
"161,209",CA0190036,"Los Angeles Sheriff's Department, Whittier, CA","248,910",
"161,209",CA0190100,"Alhambra Police Department, Alhambra, CA","21,047",
"161,209",CA019013G,"Los Angeles County Probation, Downey, CA","21,047",
"161,209",CA0190900,"Bell Gardens Police Department, Bell Gardens, CA","73,708",
"161,209",CA019153A,"Los Angeles District Attorney, Los Angeles, CA","21,047",
"161,209",CA0191800,"Culver City Police Deparment, Culver City, CA","54,211",
"161,209",CA0192000,"Downey Police Department, Downey, CA","31,613",
"161,209",CA0192300,"El Segundo Police Department, El Segundo, CA","42,095",
"161,209",CA0192400,"Gardena Police Department, Gardena, CA","42,095",
"161,209",CA0192500,"Glendale Police Department, Glendale, CA","21,047",
"161,209",CA0192600,"Glendora Police Department, Glendora, CA","21,047",
"161,209",CA0192800,"Hawthorne Police Department, Hawthorne, CA","63,226",
"161,209",CA0192900,"Hermosa Beach Police Department, Hermosa Beach, CA","21,047",
"161,209",CA0193100,"Huntington Park Police Department, Huntington Park, CA","21,047",
"161,209",CA0193300,"Inglewood Police Department, Inglewood, CA","21,047",
"161,209",CA0193800,"La Verne Police Department, La Verne, CA","119,720",
"161,209",CA0194100,"Long Beach Police Department, Long Beach, CA","31,613",
"161,209",CA0194200,"Los Angeles Police Department, Los Angeles, CA","368,358",
"161,209",CA0194400,"Manhattan Beach Police Department, Manhattan, CA","21,047",
"161,209",CA0194600,"Monrovia Police Department, Monrovia, CA","21,047",
"161,209",CA0194800,"Monterey Park Police Department, Monterey Park, CA","21,047",
"161,209",CA0195300,"Pasadena Police Department, Pasadena, CA","105,404",
"161,209",CA0195500,"Pomona Police Department, Pomona, CA","21,047",
"161,209",CA0195600,"Redondo Beach Police Department, Redondo Beach, CA","21,047",
"161,209",CA0196060,"Baldwin Park Police Department, Baldwin Park, CA","21,047",
"161,209",CA0196200,"San Gabriel Police Department, San Gabriel, CA","21,047",
"161,209",CA0196500,"Santa Monica Police Department, Santa Monica, CA","10,997",
"161,209",CA0196700,"Signal Hill Police Department, Signal Hill, CA","21,047",
"161,209",CA019691A,"Los Angeles City Attorney, Los Angeles, CA","2,774",
"161,209",CA0197200,"Torrance Police Department, Torrance, CA","21,047",
"161,209",CA0199901,"California Highway Patrol, Glendale, CA","21,047",
"161,209",CA0420990,"Santa Barbara Regional Narcotic Enforcement Team, Santa Barbara, CA","25,000",
"161,180",MA009015A,MIDDLESEX DISTRICT ATTORNEY,"16,653",
"161,140",NY0303000,New York City Police Department,"2,000,000",
"161,136",KY0568000,LOUISVILLE METRO POLIC DEPARTMENT,"1,085,277",
"161,135",VA075013A,Commonwealth Attorney's Office 15% share - FY13,"13,720",459
"161,069",CA0303500,CITY OF MISSION VIEJO,447,
"161,069",CA0303600,DANA POINT POLICE SVCS/ORANGE COUNTY,447,
"161,069",CA0303900,LAGUNA NIGUEL POLICE SERVICES,447,
"161,069",CAEQ03030,CITY OF LAKE FOREST,447,
"161,063",FL01325A0,Indian Creek Village Public Safety,,"160,015"
"161,062",CA0360900,Rialto Police Department,"17,684",
"161,061",CA0300000,ORANGE COUNTY SHERIFF'S DEPARTMENT,"2,940,045","7,216"
"161,061",CA0300300,BUENA PARK POLICE DEPARTMENT,"123,370",
"161,061",CA0300600,LA PALMA POLICE DEPARTMENT,"90,997",
"161,061",CA0300700,FOUNTAIN VALLEY POLICE DEPARTMENT,"5,606",
"161,061",CA0300800,FULLERTON POLICE DEPARTMENT,"17,551",
"161,061",CA0301400,NEWPORT BEACH POLICE DEPARTMENT,"142,930",
"161,061",CA0301500,ORANGE POLICE DEPARTMENT,"125,379",
"161,061",CA0301900,SANTA ANA POLICE DEPARTMENT,"716,358",
"161,061",CA0302200,TUSTIN POLICE DEPARTMENT,"125,379",
"161,061",CA0302700,CALIFORNIA STATE UNIVERSITY FULLERTON POLICE,"90,997",
"161,056",CA0040000,Butte County Sheriff's Office,"111,731",
"161,056",CA0110000,Glenn County Sheriff's Office,"56,407",
"161,056",CA045013A,Shasta County District Attorney,"15,785",273
"161,056",CA0450200,City of Redding Police Department,"184,208",
"161,056",CA0520000,Tehama County Sheriff's Office,"85,939",
"161,056",CAEQ00610,Colusa County Narcotic Enforcement Team,"6,633",
"161,054",CA0570000,Yolo County Sheriff's Department,,"12,170"
"161,054",CA0570100,Davis Police Department,,"12,170"
"161,054",CA0570130,Yolo County Probation Department,,"1,891"
"161,054",CA0570200,Winters Police Department,,203
"161,054",CA0570300,Woodland Police Department,,"12,170"
"161,054",CA057033A,Yolo County District Attorney's office,,"12,170"
"161,054",CA0570400,West Sacramento Police Department,,"12,170"
"161,054",CA0579700,UC Davis Police Department,,"1,891"
"161,052",CA0560001,THOUSAND OAKS POLICE DEPT,"6,642",
"161,052",CA056023A,VENTURA COUNTY DISTRICT ATTORNEY,"6,642",
"161,052",CA0560400,OXNARD POLICE DEPARTMENT,"13,285",
"161,035",CA0331100,City of Palm Springs Police Department,"52,807",
"161,003",VA0860000,"Smyth County Sheriff's Office, Marion, Virginia",,"113,893"
"161,003",VA0860200,"Saltville Police Dept., Saltville, Virginia",,"38,240"
"160,957",VA0200000,Chesterfield County Police Department,112,
"160,957",VA021013A,Chesterfield Commonwealth Attorney,18,
"160,957",VA0260000,Dinwiddie County Sheriff's Department,112,
"160,957",VA027013A,Dinwiddie County Commonwealth Attorney,18,
"160,957",VA0740000,Prince George Police Department,112,
"160,957",VA074013A,Prince George Commonwealth Attorney,18,
"160,957",VA1050000,Colonial Heights Police Department,112,
"160,957",VA105011A,Colonial Heights Commonwealth Attorney,18,
"160,957",VA1130000,Hopewell Police Department,112,
"160,957",VA113013A,Hopewell Commonwealth Attorney,18,
"160,957",VA1180000,Petersburg Police Department,112,
"160,957",VA119011A,Petersburg Commonwealth Attorney,18,
"160,957",VAVSP0000,Virginia State Police,112,
"160,950",NJNSP0020,NJ State Police/ Division Criminal Justice,,"24,121"
"160,948",VA0020100,University of Virginia Police Department,,"971,167"
"160,948",VA0020200,Town of Scottsville Police Department,,"71,453"
"160,948",VA0020300,Albemarle County Police Department,,"397,207"
"160,948",VA0020300,Albemarle County Police Department,,"971,167"
"160,948",VA0050000,Amherst Sheriffs Office,,"46,539"
"160,948",VA0060000,Appomattox Sheriffs Office,,"11,450"
"160,948",VA0070100,Arlington County Police Department,,"55,000"
"160,948",VA0070100,Arlington County Police Department,,"241,728"
"160,948",VA0080000,Augusta Sheriffs Office,,"59,461"
"160,948",VA0100000,Bedford County Sheriffs Office,,"503,648"
"160,948",VA0110000,Bland Sheriffs Office,,"178,856"
"160,948",VA0140000,Buchanan County Sheriffs Office,,"325,000"
"160,948",VA0140000,Buckingham County Sheriffs Office,,"299,761"
"160,948",VA0160000,Campbell County Sheriffs Office,,"155,234"
"160,948",VA0170000,Caroline County Sheriffs Office,,"350,680"
"160,948",VA0210000,Chesterfield County Police Department,,"558,752"
"160,948",VA0210000,Chesterfield County Sheriffs Office,,"46,900"
"160,948",VA0210100,Chesterfield County Police Department,,"130,743"
"160,948",VA0220000,Clarke County Sheriffs Office,,"50,000"
"160,948",VA0260000,Dickenson County Sheriffs Office,,"42,850"
"160,948",VA0270000,Dinwiddie County Sheriffs Office,,"265,000"
"160,948",VA0280000,Essex County Sheriffs Office,,"325,908"
"160,948",VA0290100,Fairfax County Police Department,,"775,770"
"160,948",VA0290100,Fairfax County Police Department,,"591,000"
"160,948",VA0290300,Town Vienna Police Department,,"93,708"
"160,948",VA0300000,Fauquier County Sheriffs Office,,"36,125"
"160,948",VA0310000,Floyd County Sheriffs Office,,"16,000"
"160,948",VA0330000,Franklin County Sheriffs Office,,"124,022"
"160,948",VA0380000,Grayson County Sheriffs Office,,"106,956"
"160,948",VA0400100,Emporia Police Department,,"23,488"
"160,948",VA0420000,Hanover County Sheriffs Office,,"577,959"
"160,948",VA0420000,Hanover County Sheriffs Office,,"31,290"
"160,948",VA0420100,Ashland Police Department,,"151,681"
"160,948",VA0430100,Henrico County Police Department,,"553,811"
"160,948",VA0430100,Henrico County Police Department,,"330,000"
"160,948",VA0430100,Henrico Police Department,,"256,349"
"160,948",VA0440000,Henry County Sheriffs Office,,"205,000"
"160,948",VA0490000,King George Sheriffs Office,,"149,700"
"160,948",VA0500000,King William Sheriffs Office,,"67,252"
"160,948",VA0520000,Lee County Sheriffs Office,,"141,612"
"160,948",VA0530000,Loudoun County Sheriffs Office,,"150,765"
"160,948",VA0530000,Loudoun County Sheriffs Office,,"34,535"
"160,948",VA0540000,Lousia County Sheriffs,,"20,720"
"160,948",VA0560000,Madison County Sheriffs Office,,"25,011"
"160,948",VA0570000,Mathews County Sheriffs Office,,"168,837"
"160,948",VA0600100,Blacksburg Police Department,,"51,375"
"160,948",VA0600300,Christianburg Police Department,,"32,500"
"160,948",VA0620000,Nelson County Sheriffs Office,,"83,811"
"160,948",VA0630000,New Kent County Sheriffs Office,,"17,251"
"160,948",VA0660000,Northumberland County Sheriffs Office,,"35,000"
"160,948",VA0670000,Nottoway County Sheriffs Office,,"105,200"
"160,948",VA0670100,Town of Blackstone Police Department,,"57,670"
"160,948",VA0680100,Town of Orange Police Department,,"79,010"
"160,948",VA0690000,Page County Sheriffs Office,,"78,320"
"160,948",VA0700000,Patrick County Sheriffs Office,,"92,090"
"160,948",VA0710000,Pittsylvania County Sheriffs Office,,"173,809"
"160,948",VA0710000,Pittsylvania County Sheriffs Office,,"197,590"
"160,948",VA0720000,Powhatan Sheriffs Office,,"225,375"
"160,948",VA0740100,Prince George Police Department,,"112,934"
"160,948",VA0750100,Manassas City Police Department,,"121,565"
"160,948",VA0750200,Manassas Park Police Department,,"153,617"
"160,948",VA0750300,Prince William County  Police Department,,"578,773"
"160,948",VA0750500,Haymarket Police Departrment,,"30,000"
"160,948",VA0750600,Dumfries Police Department,,"9,971"
"160,948",VA0770100,Pulaski Police Department,,"241,954"
"160,948",VA0800100,Salem Police Department,,"76,294"
"160,948",VA0800200,Town of Vinton Police Department,,"29,750"
"160,948",VA0800300,Roanoke County Virginia Police Department,,"348,250"
"160,948",VA0810000,Rockbridge County Sheriffs Office,,"79,322"
"160,948",VA0810000,Rockbridge County Sheriffs Office,,"328,060"
"160,948",VA0820000,Rockingham County Sheriffs Office,,"99,500"
"160,948",VA0820000,Rockingham Sheriffs Office,,"90,726"
"160,948",VA0820300,Dayton Police Department,,"129,602"
"160,948",VA0840000,Scott County Sheriffs Office,,"138,163"
"160,948",VA0840200,Weber City Police Department,,"36,136"
"160,948",VA0850000,Shenandoah County Sheriffs Office,,"107,177"
"160,948",VA0850300,Woodstock Police Department,,"40,855"
"160,948",VA0850500,New Market Police Department,,"30,800"
"160,948",VA0870300,Town of Boykins Police Department,,"3,911"
"160,948",VA0890000,Stafford County Sheriffs Office,,"41,879"
"160,948",VA0890000,Stafford County Sheriffs Office,,"435,065"
"160,948",VA0920300,Richlands Police Department,,"109,260"
"160,948",VA0930100,Fredericksburg Police Department,,"251,025"
"160,948",VA0940000,Washington County Sheriffs Office,,"73,483"
"160,948",VA0970000,Wythe County Sheriffs Office,,"97,000"
"160,948",VA0980000,York County Sheriffs Office,,"28,500"
"160,948",VA0980100,Poquoson Police Department,,"90,569"
"160,948",VA0990000,City of Alexandria Police Department,,"41,335"
"160,948",VA0990000,City of Alexandria Police Department,,"325,509"
"160,948",VA1020000,Charlottesville Police Department,,"971,167"
"160,948",VA1020000,Charlottesville Police Department,,"111,726"
"160,948",VA1030000,Chesapeake Police Department,,"121,977"
"160,948",VA1070000,Danville Police Department,,"169,593"
"160,948",VA1100000,City of Galax Police Department,,"28,370"
"160,948",VA1110000,Hampton Police Department,,"102,500"
"160,948",VA1110300,Thomas Nelson Community College Police Department,,"266,558"
"160,948",VA1120000,Harrisonburg Police Department,,"169,827"
"160,948",VA1130000,Hopewell Police Department,,"29,639"
"160,948",VA1140000,Lynchburg Police Department,,"59,147"
"160,948",VA115011A,Martinsville Police Department,,"166,210"
"160,948",VA1160000,Newport News Police Department,,"144,112"
"160,948",VA1170000,Norfolk Police Department,,"175,004"
"160,948",VA1190000,Petersburg Police Department,,"289,860"
"160,948",VA1190100,Petersburg Sheriffs Office,,"27,610"
"160,948",VA1210000,Radford City Police Department,,"59,670"
"160,948",VA1220000,Richmond Police Department,,"191,370"
"160,948",VA1220000,Richmond Police Department,,"1,494,787"
"160,948",VA1220300,Capitol Police,,"145,909"
"160,948",VA1230000,Roanoke City Police Department,,"250,000"
"160,948",VA1240000,South Boston Police Department,,"55,604"
"160,948",VA1260000,Staunton Police Department,,"92,625"
"160,948",VA1270000,Suffolk Police Department,,"92,371"
"160,948",VA1270000,Suffolk Police Department,,"80,320"
"160,948",VA1280001,Virginia Beach Police Department,,"176,635"
"160,948",VA1290000,Waynesboro Police Department,,"236,150"
"160,948",VA1300300,Virginia Commonwealth University Police Department,,"2,081,000"
"160,948",VAEQ07502,Northern Virginia Gang Task Force,,"150,000"
"160,948",VAVSP0000,Virginia Department of State Police,,"3,694,724"
"160,948",VAVSP0000,Virginia Department of State Police,,"364,325"
"160,948",VAVSP0000,Virginia Department of State Police,,"119,640"
"160,948",VAVSP0000,Virginia Department of State Police,,"1,500,000"
"160,948",VAVSP0000,Virginia Department of State Police,,"480,000"
"160,930",RI0040500,JOHNSTON POLICE DEPARTMENT,"62,000",
"160,889",CA0360200,"Chino Police Department 5450 Walnut Ave., Chino CA  91710","23,416",221
"160,889",CA0361100,"Upland Police Department 1499 W. 13th St., Upland CA  91786","117,922",662
"160,872",NJ012013A,MIDDLESEX COUNTY PROSECUTOR'S OFFICE,"13,000",
"160,872",NJNSP0020,NEW JERSEY OFFICE OF THE ATTORNEY GENERAL,"10,000",
"160,872",NY0015100,TOWN OF BETHLEHAM POLICE DEPARTMENT,950,
"160,872",NY0090000,CLINTON COUNTY SHERIFF'S OFFICE,"1,440",
"160,872",NY0100000,COLUMBIA COUNTY DA'S OFFICE,"12,591",
"160,872",NY0140100,CITY OF BUFFALO POLICE DEPARTMENT,"16,000",
"160,872",NY0190000,GREENE COUNTY DISTRICT ATTORNEY'S OFFICE,"10,000",
"160,872",NY0310200,CITY OF NIAGARA FALLS POLICE DEPARTMENT,"9,000",
"160,872",NY0410200,CITY OF TROY NY POLICE DEPARTMENT,"9,184",
"160,872",NY042013A,Richmond County District Attorney's Office,"287,304",
"160,872",NY0465400,ROTTERDAM POLICE DEPARTMENT,"7,027",
"160,872",NY0560000,WARREN COUNTY SHERIFF'S OFFICE,"6,926",
"160,872",NY0570000,WATERVILET POLICE DEPARTMENT,"10,470",
"160,872",NY0570000,WASHINGTON COUNTY SHERIFF'S OFFICE,"22,450",
"160,858",MI6316300,Oakland County Sheriff's Office,"3,634",
"160,858",MI6362700,Novi Police Department,"7,269",
"160,858",MI6381500,West Bloomfield Police Department,"14,538",
"160,834",NY0270000,Monroe County Sheriff's Office,"141,784",
"160,834",NY0270100,Rochester Police Department,"376,957",
"160,834",NY027013A,Monroe County District Attorney's Office,"102,856",
"160,834",NY0272400,East Rochester Police Department,"63,928",
"160,834",NY0275000,Brighton Police Department,"63,928",
"160,834",NY0275400,Greece Police Department,"63,928",
"160,834",NYQNGCD22,NYS National Guard Counterdrug Program,"38,928",
"160,822",RI0050600,"Hopkinton Police Department, Hopkinton, Rhode Island","150,000",
"160,782",NV0020300,Henderson Police Department,"6,337",
"160,782",NV018045G,Nevada Department of Public Safety Div,"15,085",
"160,720",IA0570100,Cedar Rapids Police Department,"50,566",
"160,695",CA0480000,Solano County Sheriff's Office,"4,035",321
"160,695",CA048013A,Solano County District Attorney,"4,035",321
"160,695",CA0480300,Fairfield Police Department,"4,035",321
"160,687",KY0240100,Hopkinsville Police Department,,"16,852"
"160,687",KY0720000,Lyon County Sheriff's Department,,"8,426"
"160,687",KY0720200,Eddyville Police Department,,"8,426"
"160,678",NC0650200,"City of Wilmington, Wilmington, NC for helo blades","39,140",
"160,671",KS0480100,"KINGMAN, KANSAS POLICE DEPARTMENT","4,600",
"160,657",NH0090000,Strafford County Sheriff's Office,"1,000",
"160,640",GA0400000,MID-SOUTH NARCOTICS TASK FORCE CRISP CO. S.O.,"1,681",
"160,635",WV0030000,Boone County Sheriff's Department,109,
"160,635",WV0230000,Logan County Sheriff's Department,"1,250",
"160,635",WVWSP0007,West Virginia State Police,"4,615",
"160,618",IA0772000,"Mid Iowa Narcotics Enforcement, Urbandale, IA",738,
"160,596",CA011013A,GLENN COUNTY DISTRICT ATTORNEY,,"8,784"
"160,596",CA0119960,CALIFORNIA HIGHWAY PATROL,,"19,764"
"160,548",IL0200000,DEWITT COUNTY SHERIFF'S OFFICE,"20,000",
"160,548",IL0200100,CLINTON POLICE DEPARTMENT,"20,000",
"160,548",IL0570000,MCLEAN COUNTY SHERIFF'S OFFICE,"20,000",
"160,548",IL0571500,ILLINOIS STATE UNIVERSITY POLICE DEPARTMENT,"20,000",
"160,547",MA0051400,Lynn Police Department,"23,806",
"160,547",MA0052400,North Andover Police Department,"22,060",
"160,547",MA0052800,Salem Police Department,"92,060",
"160,498",IA0480000,Iowa County Sheriff's Department,"6,305",
"160,498",IA0520000,Johnson County Sheriff's Department,"21,437",
"160,498",IA0520100,Coralville Police Department,"21,437",
"160,498",IA0520200,Iowa City Police Department,"21,437",
"160,498",IA052023A,Johnson County  Attorney's Office,"6,305",
"160,498",IA0520400,University of Iowa Police Department,"21,437",
"160,498",IA0520500,North Liberty Police Department,"6,305",
"160,498",IADNE0000,Iowa Division of Narcotics Enforcement,"21,437",
"160,491",AZ0080000,Mohave County Sheriff's Office,"77,391","225,000"
"160,487",VA0210100,Chesterfield County Police Department,,"10,080"
"160,322",MT0250100,Department of Justice DCI,803,
"160,322",MT0560000,Yellowstone County Sheriff's Office,"17,719",
"160,318",CO030015A,Jefferson County,,"101,080"
"160,308",IL0602900,"MEGSI, 1100 Eastport Plaza Drive, Collinsville, IL 62234","25,000",
"160,303",GA031015A,Clayton County District Attorney,"3,433","2,786"
"160,303",GA033015A,Cobb Judicial Circuit District Attorney,"1,583","2,318"
"160,303",GA0380000,Coweta County Sheriff's Office,"1,428",
"160,303",GA038015A,Coweta Judicial Circuit District Attorney,"10,087","3,176"
"160,303",GA044015A,Dekalb County District Attorney,"4,065","1,649"
