CERTIFICATIONID,AGENCYNAME,NCIC
"162,576",Allegany County States Attorney's Office,MD001013A
"162,576",Cumberland City Police Department,MD0010200
"162,576",Maryland State Police Criminal Enforcement Division,MDMSP0000
"162,560",Belmond Police Department,IA0990200
"162,560",Britt Police Department,IA0410200
"162,560",Butler County Sheriff's Office,IA0120000
"162,560",Cerro Gordo County Sheriff's Office,IA0170000
"162,560",Charles City Police Department,IA0340100
"162,560",Clarion Police Department,IA0990300
"162,560",Clear Lake Police Department,IA0170100
"162,560",Eagle Grove Police Department,IA0990100
"162,560","Floyd County Sheriff's Office, Nora Springs Police Department",IA0340000
"162,560",Forest City Police Department,IA0950100
"162,560","Franklin County Sheriff's Office, Sheffield Police Department",IA0350000
"162,560",Garner Police Department,IA0410100
"162,560",Hampton Police Department,IA0350100
"162,560","Hancock County Sheriff's Office, Kanawha Police Department",IA0410000
"162,560",Lake Mills Police Department,IA0950200
"162,560",Manly Police Department,IA0980200
"162,560",Mason City Police Department,IA0170200
"162,560","Mitchell County Sheriff's Office, Stacyville Police Department",IA0660000
"162,560",Northwood Police Department,IA0980100
"162,560",Osage Police Department,IA0660100
"162,560",Parkersburg Police Department,IA0120100
"162,560",Shell Rock Police Department,IA0120200
"162,560",St. Ansgar Police Department,IA0660200
"162,560",Winnebago County Sheriff's Office,IA0950000
"162,560",Worth County Sheriff's Office,IA0980000
"162,560",Wright County Sheriff's Office,IA0990000
"162,520",Ardmore Police Department,TN0280300
"162,520",Clifton Police Department,TN0910200
"162,520",Collinwood Police Department,TN0910300
"162,520",Lawrenceburg Police Department,TN0500100
"162,520",Loretto Police Department,TN0500200
"162,520",Maury County Sheriff's Department,TN0600000
"162,507",Butler County Sheriff Office,AL0100003
"162,507",Greenville Police Department,AL0100100
"162,456",Arnolds Park Police Department,IA0300000
"162,456",Clay County Sheriff's Office,IA0210000
"162,456",Dickinson County Sheriff's Office,IA0300000
"162,456",Emmet County Sheriff's Office,IA0320000
"162,456",Estherville Police Department,IA0320100
"162,456",Lake Park Police Department,IA0300000
"162,456",O'Brien County Sheriff&apos;s Office,IA0710000
"162,456",Okoboji Police Department,IA0300000
"162,456",Osceola County Sheriff's Office,IA0720000
"162,456",Sheldon Police Department,IA0710300
"162,456",Spencer Police Department,IA0210100
"162,456",Spirit Lake Police Department,IA0300100
"162,428",Amory Police Department,MS0480200
"162,428",Booneville Police Department,MS0590100
"162,428",Chickasaw County Sheriff'&apos;s Department,MS0090000
"162,428",Fulton Police Department,MS0290100
"162,428",Itawamba County Sheriff's Department,MS0290000
"162,428",Lee County Sheriff's Department,MS0410000
"162,428",Prentiss County Sheriff's Department,MS0590000
"162,428",Tishomingo County Sheriff's Department,MS0710000
"162,428",Tupelo Police Department,MS0410100
"162,421",Lapeer Police Department,MI4452000
"162,421",Michigan State Police,MI4403800
"162,421",Tuscola County Sheriff's Dept.,MI7917900
"162,413",Franklin Police Dept.,KY1070100
"162,413",Logan County Sheriffs Dept.,KY1070900
"162,413",Russellville Police Dept.,KY0710100
"162,413",Simpson County Sheriffs Dept.,KY0710900
"162,380","Decatur, AL Police Dept.",AL0520100
"162,380","Huntsville, AL Police Dept.",AL0470100
"162,380","Madison County, AL District Attorney's Office",AL047015A
"162,380","Madison County, AL Sheriff's Office",AL0470000
"162,380","Madison, AL Police Dept.",AL0470200
"162,380","Morgan County, AL Sheriff's Office",AL0520000
"162,378",Byron Hedgecock,OK045015A
"162,378",Casey Breshears,OK045015A
"162,378",District 17 Multi-Jurisdictional Task Force,OK045015A
"162,378",Dustin Bray,OK045015A
"162,378",Jason Stewart,OK045015A
"162,378",Shawn Culver,OK045015A
"162,352",19th Judicial Circuit,AL029015A
"162,352",Elmore County Sheriff's Dept.,AL0290000
"162,352",Poarch Creek Tribal Police,ALDI00300
"162,352",Wetumpka Police Dept.,AL0290100
"162,351",Alcohol Tabacco & Firearms,MIATFDESO
"162,351",Detroit Police Department,MI8234940
"162,351",Michigan State Police,MI8297500
"162,301",Davis County Sheriffs Office,IA0260000
"162,301",Henry County Sheriff's Office,IA0440000
"162,301",Jefferson County Sheriffs Office,IA0510000
"162,301",Keokuk County Sheriffs Office,IA0540000
"162,301",Mahaska County Sheriffs Office,IA0620000
"162,301",Mt. Pleasant Police Department,IA0440100
"162,301",Oskaloosa Police Department,IA0620100
"162,301",Ottumwa Police Department,IA9001000
"162,301",Sigourney Police Department,IA0540100
"162,301",Van Buren County Sheriffs Office,IA0890000
"162,301",Wapello County Sheriffs Office,IA9000000
"162,280",Carter County Sheriff's Department,TN0900400
"162,280",City of Erwin Police Department,TN0900400
"162,280",City of Jonesborough Police Department,TN0900400
"162,280",ETSU Department of Public Safety,TN0900400
"162,280",Johnson City Police Department,TN0900400
"162,280",Unicoi County Sheriff's Department,TN0900400
"162,280",Washington County Sheriff's Department,TN0900400
"162,253",Amador County District Attorney's Office,CA003013a
"162,253",Amador County Sheriff's Office,CA0030000
"162,253",California Highway Patrol,CA0039995
"162,253",Ione Police Department,CA0030200
"162,250",Chambers County Sheriff's Office,AL0120000
"162,250",Lafayette Police Department,AL0120100
"162,250",Lanett Police Department,AL0120200
"162,250",Valley Police Department,AL0120400
"162,203",Altus Police Department,OK0330100
"162,203",Blair Police Department,OK0330200
"162,203",Duke Police Department,OK0330400
"162,203",Frederick Police Department,OK0710100
"162,203",Grandfield Police Department,OK0710300
"162,203",Granite Police Department,OK0280300
"162,203",Greer County Sheriff Office,OK0280000
"162,203",Harmon County Sheriff Office,OK0290000
"162,203",Hollis Police Department,OK0291000
"162,203",Jackson County Sheriff Office,OK0330000
"162,203",Kiowa County Sheriff Office,OK0380000
"162,203",Lone Wolf Police DepartmentOK,OK0380600
"162,203",Mangum Police Department,OK0280100
"162,203",Mountain View Police Department,OK0381400
"162,203",Olustee Police Department,OK0331100
"162,203",Tillman County Sheriff Office,OK0710000
"162,203",Tipton Police Department,OK0710700
"162,150",City of Moulton,AL0420100
"162,150",Lawrence County District Attorney Office,AL042015A
"162,150",Lawrence County Drug Task Force,ALT420000
"162,150",Lawrence County Sheriff's Department,AL0420000
"162,150",Town Of Courtland,AL0420200
"162,150",Town of Hillsboro,AL0420400
"162,150",Town of North Courtland,AL0420500
"162,150",Town of Town Creek,AL0420300
"162,119",Ludington Police Department,MI5354000
"162,119",Manistee County Sheriff's Department,MI5115100
"162,119",Manistee Police Department,MI5155000
"162,119",Mason County Sheriff's Department,MI5315300
"162,119",Michigan State Police,MI5300700
"162,119",Oceana County Sheriff's Department,MI6416400
"162,050",Maryland State Police,MDMSP9400
"162,050",Somerset County Sheriff's Department,MD0200000
"162,050",Somerset County Sheriff's Department,MD020013A
"162,046",Brentwood Police Department,TN0940300
"162,046",Centerville Police Department,TN0410100
"162,046",District Attorney General Office / 21st District,TN094015A
"162,046",Fairview Police Department,TN0940200
"162,046",Franklin Police Department,TN0940100
"162,046",Hickman County Sheriff's Office,TN0410000
"162,046",Williamson County Sheriff's Office,TN0940000
"162,023",FORREST COUNTY SHERIFF'S DEPARTMENT,MS0180000
"162,023",HATTIESBURG POLICE DEPARTMENT,MS0180100
"162,023",PERRY COUNTY SHERIFF'S DEPARTMENT,MS0560000
"162,023",PETAL POLICE DEPARTMENT,MS0180200
"162,014",SUTTER COUNTY SHERIFF'S DEPARTMENT,CA0510000
"162,014",YUBA CITY POLICE DEPARTMENT,CA0510200
"162,014",YUBA COUNTY SHERIFF'S DEPARTMENT,CA0580000
"161,986",Beaumont Police Department,CA0330200
"161,986",Calexico Police Department,CA0130200
"161,986",California Alcoholic Beverage Control,CA0332A00
"161,986",California Department of Justice,CA0349496
"161,986",Corona Police Department,CA0331500
"161,986",Murrieta Police Department,CA0334200
"161,986",Riverside County Sheriff Department,CA0330000
"161,986",Riverside Police Department,CA0331300
"161,986",San Bernardino Police Department,CA0361000
"161,983",Carl Junction Police Department,MO0490100
"161,983",Carthage Police Department,MO0490300
"161,983",Jasper County Sheriff's Department,MO0490000
"161,983",Joplin Police Department,MO0490700
"161,983",Webb City Police Department,MO0490600
"161,978",Allen Co Sheriff's Department,KY0020000
"161,978",Barren Co Sheriff's Department,KY0050000
"161,978",Edmonson Co Sheriff's Department,KY0031000
"161,978",Scottsville Police Department,KY0020100
"161,942",Mountaineer Highway Interdiction Team,wv0351200
"161,942",Ohio County Sheriff's Department,wv0350000
"161,942",West Virginia State Police,wvwsp0007
"161,942",Wheeling Police Department,wv0350100
"161,726",Decatur PD,tn0610100
"161,726",Harriman PD,tn0730100
"161,726",Kingston PD,tn0730200
"161,726",Lenoir City PD,tn0530100
"161,726",Loudon PD,tn0530000
"161,726",Loudon PD,tn0530200
"161,726",Meigs County Sheriff's Office,tn0610000
"161,726",Morgan County Sheriff's Office,tn0650000
"161,726",Oak Ridge PD,tn0100103
"161,726",Oliver Springs PD,tn0107303
"161,726",Roane County Sheriff's Office,tn0730000
"161,726",Rockwood PD,tn0730400
"161,726",Sunbright PD,tn0650300
"161,726",Wartburg PD,tn6506501
"161,710",CA DEPARTMENT OF FISH AND GAME,CA0341900
"161,710",CALIFORNIA DEPARTMENT OF CORRECTIONS & REHABILITATION,CA0340356
"161,710",EL DORADO COUNTY SHERIFF,CA0090000
"161,710",PLACER COUNTY DISTRICT ATTORNEY'S OFFICE,CAEQ00317
"161,710",PLACER COUNTY SHERIFF,CA0310000
"161,710",SACRAMENTO COUNTY SHERIFF'S OFFICE,CA0340000
"161,694",Randolph County Sheriff's Department,WV0422000
"161,694",Tucker County Sheriff's Department,WV0470000
"161,694",United States Forest Service,WVDOA0100
"161,694",WV State Police BCI,WVWSP9000
"161,667",City of Aztec,NM0240100
"161,667",City of Bloomfield,NM0240300
"161,667",City of Farmington,NM0240200
"161,667",San Juan County,NM0240000
"161,651",CALIFORNIA HIGHWAY PATROL,CA0419330
"161,651",DALY CITY POLICE DEPARTMENT,CA0410610
"161,651",EAST PALO ALTO POLICE DEPARTMENT,CA0412700
"161,651",MENLO PARK POLICE DEPARTMENT,CA0410900
"161,651",REDWOOD CITY POLICE DEPARTMENT,CA0411300
"161,651",SAN BRUNO POLICE DEPARTMENT,CA0411400
"161,651",SAN MATEO COUNTY SHERIFF'S,CA0410000
"161,640",CA DOJ Bureau of Investigations,CA0349496
"161,640",California Highway Patrol,CA0209950
"161,640",Madera County District Attorney,CA020013A
"161,640",Madera County Probation Department,CA020013G
"161,640",Madera County Sheriff Office,CA0200000
"161,640",Madera Police Department,CA0200200
"161,638",California Highway Patrol,CA0149900
"161,638",Inyo County District Attorney,CA014013A
"161,638",Inyo County Probation Department,CA014023G
"161,638",Inyo County Sheriff's Department,CA0140000
"161,604",Albuquerque Police Department,NM0010100
"161,604",City of Rio Rancho Police Department,NM0230600
"161,604",Pueblo of Pojoaque Tribal Police Department,NMDI02200
"161,604",Sandoval County Sheriff's Office,NM0230000
"161,604",Valencia County Sheriff's Department,NM0320000
"161,568",Aaron Simmons,
"161,568",Andy Herrera,
"161,568",Andy Herrera,
"161,568",Andy Herrera,KS089025Y
"161,568",Daren Fox,KS089025Y
"161,568",Daren Fox,KS089025Y
"161,568",Daren Fox,KS089025Y
"161,568",Darren Fox,
"161,568",Darren Fox,
"161,568",Dean Reynoldson,KS089025Y
"161,568",Dean Reynoldson,KS089025Y
"161,568",Dean Reynoldson,KS089025Y
"161,568",Dean Reynoldson,
"161,568",Dean Reynoldson,
"161,568",Ivonne Santa,
"161,568",Miguel Arellano-Hernandez,
"161,568",Miguel Arellano-Hernandez,
"161,568",Miguel Arellano-Hernandez,KS089025Y
"161,568",Miguel Arellano-Hernandez,KS089025Y
"161,568",Miguel Arellano-Hernandez,KS089025Y
"161,568",Office of Special Investigations,KS089025Y
"161,568",Office of Special Investigations,KS089025Y
"161,565",Aaron Simmons,
"161,565",Andy Herrera,
"161,565",Andy Herrera,KS089025Y
"161,565",Andy Herrera,
"161,565",Daren Fox,KS089025Y
"161,565",Daren Fox,KS089025Y
"161,565",Daren Fox,KS089025Y
"161,565",Darren Fox,
"161,565",Darren Fox,
"161,565",Dean Reynoldson,
"161,565",Dean Reynoldson,
"161,565",Dean Reynoldson,KS089025Y
"161,565",Dean Reynoldson,KS089025Y
"161,565",Dean Reynoldson,KS089025Y
"161,565",Ivonne Santa,
"161,565",Miguel Arellano-Hernandez,KS089025Y
"161,565",Miguel Arellano-Hernandez,KS089025Y
"161,565",Miguel Arellano-Hernandez,KS089025Y
"161,565",Miguel Arellano-Hernandez,
"161,565",Miguel Arellano-Hernandez,
"161,565",Office of Special Investigations,KS089025Y
"161,565",Office of Special Investigations,KS089025Y
"161,564",Aaron Simmons,
"161,564",Andy Herrera,
"161,564",Andy Herrera,KS089025Y
"161,564",Andy Herrera,
"161,564",Daren Fox,KS089025Y
"161,564",Daren Fox,KS089025Y
"161,564",Daren Fox,KS089025Y
"161,564",Darren Fox,
"161,564",Darren Fox,
"161,564",Dean Reynoldson,
"161,564",Dean Reynoldson,
"161,564",Dean Reynoldson,KS089025Y
"161,564",Dean Reynoldson,KS089025Y
"161,564",Dean Reynoldson,KS089025Y
"161,564",Ivonne Santa,
"161,564",Miguel Arellano-Hernandez,KS089025Y
"161,564",Miguel Arellano-Hernandez,KS089025Y
"161,564",Miguel Arellano-Hernandez,KS089025Y
"161,564",Miguel Arellano-Hernandez,
"161,564",Miguel Arellano-Hernandez,
"161,564",Office of Special Investigations,KS089025Y
"161,564",Office of Special Investigations,KS089025Y
"161,556",Fruitland Police Department,MD0230200
"161,556",Maryland State Police,MDMSP9800
"161,556",Salisbury City Police Department,MD0230300
"161,556",Wicomico County Sheriff's Office,MD0230000
"161,556",Wicomico County State's Attorneys Office,MD023033A
"161,516",Siskiyou County Sheriff,CA0470000
"161,516",Trinity County Sheriff,CA0530000
"161,500",Bluefield Police Department,WV0280200
"161,500",McDowell County Sheriff's Department,WV0240000
"161,500",Mercer County Sheriff's Department,WV0281000
"161,500",Princeton Police Department,WV0280300
"161,500",West Virginia State Police,WVWSP9300
"161,500",Wyoming County Sheriff's Department,WV0550200
"161,498",Floyd County Police Department,GA0570100
"161,498",Floyd County Sheriffs OfficeGA,GA0570000
"161,498",Rome Police Department,GA0570200
"161,496",Bledsoe County,
"161,496",Grundy County,
"161,496",Marion County,
"161,496",Sequatchie County,
"161,471",BUCHANAN COUNTY COMOONWEALTH ATTORNEY OFFICE,VA014013A
"161,471",BUCHANAN COUNTY SHERIFF'S OFFICE,VA0140000
"161,471",GRUNDY TOWN POLICE,VA0140100
"161,471",VIRGINIA STATE POLICE,VA0000000
"161,436",Arizona Department of Public Safety,AZ0079900
"161,436",Marana Police Department,AZ0100900
"161,436",Oro Valley Police Department,AZ0100700
"161,436",Sahuarita Police Department,AZ0100400
"161,436",Tucson Police Department,AZ0100300
"161,436",University of Arizona Police Department,AZ0109700
"161,432",AP&P Brigham City,ut0020150
"161,432",Box Elder Sheriff's Office,ut0020000
"161,432",Brigham Police Department,ut0020100
"161,432",Mantua Police Department,ut0020700
"161,432",Perry Police Department,ut0021200
"161,432",Tremonton Police Department,ut0020200
"161,432",Willard Police Deparment,ut0020800
"161,420",Burke County Sheriff's Office,NC0120000
"161,420",Drexel Police Department,NC0120300
"161,420",Morganton Department of Public Safety,NC0120100
"161,420",Valdese Police Department,NC0120200
"161,406",Canton Police Dept,MO0560100
"161,406",Hannibal Housing Authority,MO064019Q
"161,406",LaGrange Police Dept,MO0560300
"161,406",Lewis County Sheriff's Dept.,MO0560000
"161,406",Marion County Sheriff's Dept,MO0640000
"161,406",Monroe County Sheriff's Dept,MO0690000
"161,406",Palmyra Police Dept,MO0640200
"161,395",City of Charleston Police Department,WV0200200
"161,395",Kanawha County Sheriff Department,WV0200000
"161,395",Nitro Police Department,WV0200400
"161,395",South Charleston Police Department,WV0200600
"161,395",St. Albans Police Department,WV0200500
"161,385","Adult Probation and Parole, Utah Department of Corrections",UT018015G
"161,385","Bureau of Alcohol, Tobacco, Firearms and Explosives",UTATF0200
"161,385",Federal Bureau Investigations,UTFBISU00
"161,385",Granite Police Department,UT0182800
"161,385",Salt Lake County Sheriff's Office,UT018013C
"161,385",Saratoga Springs Police Department,UT0252200
"161,385",South Salt Lake Police Department,UT0180400
"161,385",US Marshal Service,UTUSM0100
"161,385",Unified Police Department,UT0180000
"161,385",Utah Department of Public Safety,UTUHP0000
"161,382","Berlin, NH Police Department",NH0040600
"161,382","Claremont, NH Police Department",NH0100600
"161,382","Franklin, NH Police Department",NH0072400
"161,382","Grafton County, NH Sheriff Department",NH0050000
"161,382","Keene, NH Police Department",NH0031800
"161,382","Merrimack County, NH Sheriff Department",NH0070000
"161,382","New Hampshire Liquor, Bureau of Enforcement",NH0075800
"161,382","Newport, NH Police Department",NH0101800
"161,382","Sullivan County, NH Sheriff Department",NH0100000
"161,355",30th Judicial District Probation & Parole,
"161,355",Anacoco Police Department,
"161,355",Hornbeck Police Department,
"161,355",Leesville Police Department,
"161,355",New LLano Police Department,
"161,355",Rosepine Police Department,
"161,355",Simpson Police Department,
"161,355",Vernon Parish Sheriff's Office,LA0580000
"161,300",Frederick County Sheriff's Office,MD011023A
"161,300",Frederick County State's Attorney&apos;s Office,MD0110000
"161,295",Gainesville Police Department,GA0690100
"161,295",Hall County Sheriff's Office,GA0690000
"161,266",Clinton County Prosecutor's Office,MI190013A
"161,266",Clinton County Sheriff's Office,MI1911900
"161,266",East Lansing Police Department,MI3336400
"161,266",Eaton County Prosecutor's Office,MI230013A
"161,266",Grand Ledge Police Department,MI2343500
"161,266",Ingham County Prosecutor's Office,MI330019A
"161,266",Ingham County Sheriff's Office,MI3313300
"161,266",Lansing Police Department (Lead Agency),MI3351900
"161,266",Michigan State Police,MI3301000
"161,264",Lincoln City Police Department,OREQ00025
"161,264",Lincoln County District Attorney's Office,OREQ00025
"161,264",Lincoln County Legal Counsel,OREQ00025
"161,264",Lincoln County Sheriff's Office,OREQ00025
"161,264",Newport Police Department,OREQ00025
"161,264",Oregon State Police,OREQ00025
"161,254",DTF Director James McWright,TNEQ00010
"161,254",District Attorney General Victor S. Johnson III,TN019025A
"161,254",Police Chief Steve Anderson,TNEQ00010
"161,237",City of Ceres,CA0500100
"161,237",City of Hughson,CA0500900
"161,237",City of Modesto,CA0500200
"161,237",City of Newman,CA0500300
"161,237",City of Oakdale,CA0500400
"161,237",City of Patterson,CA0500500
"161,237",City of Riverbank,CA0500600
"161,237",City of Turlock,CA0500700
"161,237",City of Waterford,CA0500800
"161,237",Stanislaus County District Attorney,CA050013A
"161,237",Stanislaus County Probation Department,CA050013G
"161,237",Stanislaus County Sheriff,CA0500000
"161,232",Atwater Police Department,CA0240100
"161,232",California Department of justice,CA0109478
"161,232",California Highway Patrol,CA0249960
"161,232",Livingston police Department,CA0240400
"161,232",Los Banos Police Department,CA0240500
"161,232",Merced County Sheriff's Department,CA0240000
"161,232",Merced Police Department,CA0240600
"161,213",Tim Turner,OK061015A
"161,213",Walker Stewart,OK061015A
"161,211",Riverside County Probation,CA033013G
"161,211",Riverside Police Department,CAEQ00102
"161,211",Riverside Sheriff's Office / SIB,CA0330000
"161,209",Alhambra Police Department,CA0190100
"161,209",Arcadia Police Department,CA0190200
"161,209",Azusa Police Department,CA0190500
"161,209",Baldwin Park Police Department,CA0190600
