CERTIFICATIONID,DESCRIPTION,JUSTICE
"161,455",ANNUAL BACK TO SCHOOL BASH  (Basketballs for tournament),"1,125"
"161,455",EMBROIDER ME          (Supplies for Boys and Girls Club Program),"1,314"
"161,455",EMBROIDME & UNIVERSITY OF NEW MEXICO      (Special Olympics),"9,583"
"161,455",JMB BUSINESS SERVICES (Annual Cops for Kids Program),882
"161,455",MCS                                 (Radios for Boys and Girls Club Program),"2,472"
"161,455","NEW MEXICO HUMAN RIGHTS (Educators workshop to prevent, identify, and prevent bulling)","3,400"
"161,455",Neves Uniforms (Camp Triumph Summer Youth Camps Dare),510
"161,455",SAS WORLD WIDE      (Supplies for Boys and Girls Club Program),"1,265"
"161,455",SCREEN IMAGES INC. (Camp Triumph Summer Youth Camps Dare),740
"161,455",Silvas    ( Camp Triumph Summer Youth Camps Dare),660
"161,455",THE FIRST TEE ( Education and Drug Awareness Program DARE),"9,750"
"161,434",Gun Buyback Program,"5,000"
"161,416",Boys / Girls Club,"5,000"
"161,386",Hoodies for SADD,550
"161,359","DARE Supplies $4,404.07","4,404"
"161,351",EPIC BEHAVIORAL HEALTHCARE,"99,651"
"161,348",Police Activities League,"14,968"
"161,337",Student Safety Patrol Recognition Event,"1,782"
"161,271",Child Welfare Services Extended Foster Care Program- Provide basic necessities for high risk foster care youth who are transitioning out of the dependency court system.,"2,065"
"161,271",Detour - Support a Teen Expo to help at-risk girls ages 14-19 choose a career path and stay in school.,"1,322"
"161,271","Intelliscape- Film production costs for a documentary to raise awareness, educate youth, protect youth from threats of violence caused by sexual predators.","25,635"
"161,271","Jacobs Center for Neighborhood Innovation- Support of Writerz Block, a program where juvenile probationers convicted of graffiti tagging receive training to redirect them to pro-social activities.","5,000"
"161,271","San Diego County Crime Commission- Support of the PEDAL Program, which provides inmates with job skills.","5,000"
"161,271","San Diego Justice Foundation Passport to Life- Expenses for the Passport to Life Career & Education Expo event to provide youth on probation, ages 14-24, with resources to prepare for higher education and career readiness.","3,285"
"161,271",San Diego North Chamber of Commerce- Professional Services- Crime Prevention Expo. Event to provide education and awareness on kidnapping victim survival tips to law enforcement and the public.,"5,000"
"161,271",San Diego Urban League- Expenses to the Women's Re-entry program which provides ex-offenders with job readiness skills.,"4,140"
"161,271","San Diego Youth Services - Expenses for the STARS program which facilitates crime prevention education, school and job placement for teen girls ages 12-17, who have been victims of domestic human trafficking.","1,793"
"161,271","South East Alano Club - Procure tables, chairs, and TV to facilitate substance abuse services for at-risk youth.","2,544"
"161,271",Tariq Khamisa Foundation- Support mentoring programs for at-risk middle school students.,"5,000"
"161,271",Turning Point Home- Expenses for facility maintenance of the womenâ??s residential substance abuse treatment recovery home.,"1,500"
"161,271","YWCA of San Diego County- Purchase and installation of a new computer server at YWCA Becky's House, a domestic violence shelter serving women and children seeking safety from physical and mental abuse.","7,161"
"161,271","YWCA of San Diego- Installing a park / playground space at Becky's House, a domestic violence shelter serving women and children seeking safety from physical and mental abuse.","9,879"
"161,239",Troy Community Coalition (Drug Abuse Treatment & Prevention),"4,294"
"161,222",Crime Prevention Initiative Program -t-shirts and sign-age,"4,952"
"161,209",Shop With A Cop Program,500
"161,181",Droun,"28,552"
"161,180",4 SEASONS INC,250
"161,180",NATICK AWARDS,"1,356"
"161,180",ROBERTS COMPANY,188
"161,160",CALICO,"70,000"
"161,051",San Diego County Crime Stoppers,"25,000"
"161,048",SHERIFF'S ACTIVITIES LEAGUE (CONTRIB FOR TATOO REMOVAL EQUIP),"25,000"
"161,039",Cathedral City - Direct Link Crisis Response,"9,436"
"161,000",OFFICER EQUIPMENT,100
"160,994",Crime Stoppers,"1,000"
"160,989","Awards and Plaques, National Night Out supplies, Veterans Day parade, Police Basketball league, sharps kiosk with drug take back box. Texting simulator for police anti texting campaign.","18,752"
"160,942",TEAM Materials,"2,001"
"160,923",NATIONAL NIGHT OUT,"2,128"
"160,923",PASSAIC POLICE DEPARTMENT JUNIOR POLICE ACADEMY,"23,871"
"160,913",Christian Family Life,"7,500"
"160,913",Sold Out Youth Ministries,"5,860"
"160,898",Hope Center/Power Bill Reimbursement,"4,074"
"160,898",Watch Systems/Offender Watch for Community information,"5,000"
"160,887",Calexico Police Athletic League - membership dues for state & national programs,"1,500"
"160,872",New York Prosecutors Training Institute,"23,505"
"160,872",Police Athletic League,"377,869"
"160,855",Aiea Na Ali'i Project Graduation (for Aiea High School),"2,000"
"160,855",Assets School,"1,168"
"160,855",Families and Friends of Castle (for Castle High School),"3,718"
"160,855",Friends of Kailua High School,"2,000"
"160,855",Friends of Kaiser Parent Teacher Student Association,"2,000"
"160,855",Friends of Waialua Town,"1,389"
"160,855",Hanalani Schools,"1,899"
"160,855",Hawaiian Mission Academy,"1,048"
"160,855",Iolani School,840
"160,855",Kaimuki High School Parent Teacher Student Association,"2,000"
"160,855",Kalaheo High School Parent Teacher Student Association,"4,000"
"160,855",Kalani High School Association,"1,200"
"160,855",Kapolei High School Parent Teacher Student Association,"2,000"
"160,855","Le Jardin D' Enfants, Inc. (for Le Jardin Academy)","1,437"
"160,855",Lutheran High School of Hawaii,"1,143"
"160,855",Maryknoll School,"2,000"
"160,855",Mid-Pacific Institute,"2,000"
"160,855","Mililani High School SPADA, Inc.","2,000"
"160,855",Moanalua High School Parent Teacher Student Association,"2,000"
"160,855","Parish of Saint Michael, Waialua for Leilehua High School","2,000"
"160,855",Pearl City High School Parent Teacher Student Association,"1,787"
"160,855",Roosevelt Alumni Foundation,"2,000"
"160,855",Sacred Hearts Academy,"1,236"
"160,855",Saint Francis School,"2,000"
"160,855",Saint Louis School,"2,000"
"160,855",University Laboratory School Booster Club,"1,686"
"160,855",Wai'anae High School Parent Teacher Student Association,"1,152"
"160,855",Waipahu Community Foundation,"1,028"
"160,855",Worldpeaceplan.org for Farrington High School,"2,000"
"160,833",Coffee with a Cop program,137
"160,833",Crime Prevention training and office furniture,642
"160,833",Crime prevention association dues and supplies,421
"160,833",National Night Out supplies,"2,672"
"160,833",Volunteers in Police (VIP) awards ceremony,885
"160,824",A Horse's Friend,"3,000"
"160,824",Changing the Community,"5,000"
"160,824",Crime Stoppers,"10,000"
"160,824",His Branches Inc.,"2,500"
"160,824",Jefferson Avenue Business Association (National Night Out SW),440
"160,824",Latin Youth Baseball Foundation,"1,366"
"160,824",Police Activities League,"2,870"
"160,824",Police Explorer Program,565
"160,824",Pop Warner Football Teams,"3,000"
"160,793",Bicycle Safety Lights,"1,174"
"160,742","Purchased custom refrigerator magnets with with emergency police, fire and community-pertinent telephone numbers and website addresses.  Purchased from Halo Branded Solutions (vendor). Distributed to Neighborhood Watch Programs in City, Cathedral City Boys & Girls Club, Cathedral City Public Schools and for distribution at community events, i.e., National Night Out, PD Anniversary event, etc.","2,523"
"160,682",Virginia Public Safety Foundation Pledge,"10,000"
"160,678",Camp New Life-van rental to transport at-risk youth to camp,946
"160,674",Clovis Night Out - Community Event,"8,304"
"160,656",CHPD Media/Community Relations back-drop,"2,045"
"160,647","National Night out Against Crime t-shirts, Code Red mass public notification system","6,715"
"160,640","TURNER COUNTY ATHLETICS, RUTH'S COTTAGE, CAROLYN ELLIS SCHOOL OF DANCE","1,787"
"160,625",NLEOMF,500
"160,560",Governor Phil Bryant's Public Safety Summit,"2,286"
"160,560","National Council on Alcoholism and Drug Dependence of the Central MS Area, Inc.","3,000"
"160,547",Essex County Child Advocacy Center (prior approval DOJ),"8,751"
"160,537",On-Point Teen Resource Center / Plummer Home,"14,797"
"160,532","Churches, Civic Organizations, Schools, Senior Citizens, Community Organization","6,338"
"160,501",Operation Pill Drop permanent box purchase housed at PCSO,742
"160,495",South San Francisco Unified School District - transportation costs for student speech team competitions,"2,980"
"160,483",Youth Against Violence Program,"4,500"
"160,457",Operation Gang Together,"55,664"
"160,449",Portsmouth Drug Treatment Court,"5,000"
"160,446",Heroin Outreach,"4,150"
"160,400",SEWARD COUNTY DIVERSION DRUG ACCOUNTABILITY PROGRAM,"10,626"
"160,394",A.J. Orosco,200
"160,394",Fisher Bus,350
"160,394",Jonathan Berube,250
"160,394",Kolby Rental,"1,339"
"160,394",Sam's Club,90
"160,394",Tony Lepore,225
"160,353",Crime Stoppers - Reward Fund,"1,000"
"160,317",Boys and Girls Club of Truckee Meadows (anti-drug campaigns),"7,300"
"160,302",Boy Scouts of America,"11,000"
"160,256",Dartmouth Middle School Anti-Bullying Bicycle Rally - donated two bikes,234
"160,249",Park Elementary School to help build a Drug Free Playground,500
"160,241",National Law Enforcement Museum,"5,000"
"160,241","Parents of Murdered Children (reimbursement for printing services)","5,000"
"160,241","Partnership for a Drug Free America (reimbursement for technology support for the database)","5,000"
"160,211",Meet Officer friendly Coloring books for school children-Tiger Direct,616
"160,211",Police Stickers for Children-Tiger Direct,651
"160,203",Montebello Police Explorer Program,"20,000"
"160,165",Child ID program and supporting handouts for community action programs.,"4,656"
"160,086","Child Advocacy, 2 Wellman Ave, Suite 110, Nashua, NH","10,000"
"160,086","Youth Council, 112 W Pearl St., Nashua, NH","10,000"
"160,052",Miscellaneous Certificates/Awards Presented to Community Members,104
"160,050",Connecticut District Exchange Clubs,380
"160,045",Drug Awareness Supplies,507
"159,961",Fayette County Recreational Department,200
"159,941",Sumner County Schools Drug Prevention/Education,"2,000"
"159,867",Child Fingerprinting Kits,171
"159,840",360 Blueprint Project - Mentors for teaching children to read,"9,423"
"159,840",Donation to TIP (Trauma Intervention Program),450
"159,840",Homeless Evaluation Liaison Program (HELP) - bus passes and gasoline,42
"159,771",Hagerstown Police Athletic League,"25,000"
"159,699",Special Olympics,"1,290"
"159,665","Greater New York Councils, Exploring..","11,680"
"159,665",Police Athletic League Inc.,"50,000"
"159,661",Supplies for Art Haven,"3,552"
"159,564",Creative Products - Block Watch Groups,"2,996"
"159,564",New Jersey Police Explorer Program,601
"159,477",Minuteman Press for Peel off Badges/Pencils,"1,045"
"159,414",National Law Enforcement Museum,400
"159,394","San Diego Justice Foundation (a non-profit community organization): Passport to Life, a career and education expo for youth on probation","2,894"
"159,358",Contribution to National Law Enforcement Museum,"1,000"
"159,300",D.A.R.E. - PD Explorers,"3,536"
"159,286",DARE Program Massena Police & Massena Central School,"4,178"
"159,286",Drug Testing Kits - Drug Free Coalition & St. Law. County,750
"159,286",Sex Offender Watch Program - Web Site,"1,000"
"159,285",Public Relations,"1,645"
"159,174",Missoula Underage Substance Abuse Program,"3,317"
"159,139",Friends of the Louisiana Center for Women in Government and Business,"1,000"
"159,139",Lafourche Parish DARE Program,"11,962"
"159,139",Lafourche Parish Drug Court,"11,962"
"159,088",Fans/Heater program,228
"159,018",McLean County Grade School/Children Books,981
"158,979",Valencia County Road Dept. Neighborhood Watch Sign Division,255
"158,970",Iowa Association of Women Police 501(3)c - Instructor costs for spring conference,500
"158,970",Urbandale Community Action Network (UCAN) 501(3)c) - Whiz Kids meal,192
"158,871","""Don't Meth With Us&quot; campaign (meth education project):  Tshirts for 5th grade students.","5,000"
"158,871",CrimeStoppers,"5,000"
"158,871","Printing of National Night Out items:  banner, posters, post cards for mailings, officer trading cards; National Night Out public service announcements.","2,497"
"158,692",Community Public Awareness Fair,689
"158,647",Candies and Alcohol/Drug information pamphlets handed out at a Halloween in the Park event for school aged children,500
"158,647","Full page, Anti-Drug/Anti-Alcohol Advertisement in a (Marion County High School) Band Program Competition booklet",200
"158,598",Cheerwine - National Night Out,92
"158,598",Franklin Bread - National Night Out,31
"158,598",News Journal - National Night Out,290
"158,598",Sam's Club - National Night Out,"1,490"
"158,250",Big Brothers/Big Sisters Program - SIPCA,500
"158,250",St. Louis Regional Crime  - Crimestoppers Dues,500
"158,250",Violence Prevention Center,"1,000"
"158,235",National Law Enforcement Officers Memorial Fund,250
"158,172",BASEBALL WARRIORS SCHOOLARSHIP PROGRAM-OUTREACH TO AT RISK CHILDREN A PROGRAM TO KEPT THEM AWAY FROM DRUGS.,"5,000"
"158,153",Crime Prevention Programs -D.A.R.E.,"1,348"
"158,109",Arizona Coalition Against Domestic Violence,"1,000"
"158,109",National Law Enforcement Museum,"3,000"
"158,103",CHIPLEY HIGH SCHOOL - DRUG FREE,250
"158,103",FAMILY AND OUTREACH COMMITTEE PROGRAM,"1,000"
"158,103",THE FARM OF NORTHWEST FLORIDA - TRAILER FOR DRUG AND ALCOHOL REHAB,"15,000"
"158,103",WASHINGTON COUNTY CHRISTIAN SCHOOL - SECURITY FENCE,"1,000"
"158,103",WEST FLORIDA BAPTIST ASSOC - ARMSTRONG HOUSE,"1,000"
"158,081",Community Policing,827
"158,081",Drug Education & Awareness Program,"7,706"
"158,029",Hickory Hills Park District Expenses for National Night Out,"1,500"
"158,013",West Mifflin Area School Dist. & 3 Private schools Drug Prevention Program,"2,347"
"157,749",DARE Program,779
"157,648",National Law Enforcement Memorial,"1,000"
"157,646",St. Louis Regional Crimestoppers,500
"157,486",100 Club of Buffalo Dues,75
"157,353",Every 15 Minutes (Drugged Driving High School Program),"1,426"
"157,191",Yellow Springs High after prom,775
"157,132",Chief for a day,196
"157,101",D.A.R.E. Programs,"4,482"
"157,101",Safety City,"1,320"
"157,052",Texas Child and Family Connection for Counseling Services for Victims,700
"156,973",Folwell Neighborhood Association,"3,761"
"156,933",Officer Phil educational materials,449
"156,930",Brownsburg Police Explorer Cadet Program,735
"156,768",Dyer National Night Out Against Crime,"1,129"
"156,725",Portage County DARE Program,457
"156,693",Senior Day,"4,780"
"156,681",Honorary Badges,540
"156,679",Family Justice Center,30
"156,558",National Law Enforcement Officers Memorial Fund,439
"156,558",Virginia Public Safety Foundation,439
"156,413","Anti-drug, alcohol and gang programs","67,799"
"156,245",DARE,"5,568"
"156,235",Emporia After Graduation,250
"156,235",Emporia After Prom,250
"156,235",Hartford After Prom,250
"156,235",Northern Heights After Prom,250
"156,235",Olpe After Prom,250
"156,235",Olpe Down Home Kids Tractor Pull,400
"156,223",Jacy House Child Advocacy Center for abuse,"2,049"
"156,211",NATIONAL NIGHT OUT,"13,938"
"156,125",school safety advocacy,375
"156,113",Game Changers,"9,080"
"156,113",Mad Dads,382
"156,080",Project Right Choice of NW Arkansas purchase t-shits and computer equipment,"1,487"
"156,039",Red Ribbon Supplies,221
"155,955",Neighborhood Crime Watch,533
"155,866","To pay for expenses not covered by the Community Justice Grant to pay for various expenses for students participating in the annual Summer Youth Program at the Gloucester County Police Academy and the Gloucester County Prosecutor's Office.  Expenditures include tuition at the Police Academy, meals, transportation, admission for field trips, and graduation ceremony","11,983"
"155,866",To purchase gift card for students participating in the Random Acts of Kindness Program,210
"155,802",National Law Enforcement Museum,"10,000"
"155,794",Character Education,"2,474"
"155,779",Council for Unity,"30,000"
"155,779",Mothers Against Drunk Driving,"36,212"
"155,779",Parents for Megan's Law,"5,988"
"155,779",Suffolk County Coalition Against Domestic Violence,"10,703"
"155,768",CITY PRINTING - SHERIFF REPLY CARDS,159
"155,748",WHPD Community Awareness,"3,242"
"155,747",Xenia Police Division DARE Program,"73,436"
"155,736",The Fisher Agency for motivational speaker at Clay High School,"1,000"
"155,720",Drug Free Program w/Tri-City Valley Cats,"10,000"
"155,718",Boys and Girls Club,773
"155,718",Mad Dads,"10,000"
"155,705",Children's Medical Center - CARE House,"67,000"
"155,659",National Night Out,"1,906"
"155,655",Contribution to Metropolitan Organization to Counter Sexual Assault (MOCSA),"20,000"
"155,655",Manuals - In Defense of Our Schools,"4,727"
"155,651",Boys and Girls Club of Rochester,"7,846"
"155,651",Center for Youth,"5,000"
"155,651",Misc. Drug Education and Communitiy Service Programs,751
"155,651",Quad A for Kids,"3,000"
"155,651",Rochester Crime Stoppers,"2,000"
"155,651",Wilson Commencement Park,"2,000"
"155,630",B.E.S.T. (Bringing Essex County Strengths Together),"2,066"
"155,622",Buffalo Fathers Group,"11,250"
"155,622",Mad Dads Inc.,"11,250"
"155,603",CRIME STOPPERS,"30,000"
"155,603",DO THE RIGHT THING,"9,012"
"155,588",American Croatia Club for Youth,75
"155,588",PAWS- Sponsorship of Youth Basketball Tournament,368
"155,588",West Mifflin High School,100
"155,560",ComputerCop DVD Internet Safety Video for ditribution to attendees at Public Safety events held in the city as well as being distributed at local schools.,"13,340"
"155,560",Neighborhood Watch Program,"11,115"
"155,560",Sponsorship of Explorer Post #96,"3,125"
"155,538","Alan Goel, Inc.","6,220"
"155,538",Brothers Screen Graphx,"1,628"
"155,538",Citizens Crime Commission,700
"155,538",National Association of Drug Diversion Investigators,"4,200"
"155,538","WB Mason Co., Inc.",925
"155,516",Schenectady County Gun Buy Back Program,"3,600"
"155,510","National Night OutPosters and flyers",417
"155,510","Police Department Outreach ProgramBus Service  $264.75",265
"155,510","Summer Children's ProgramBus Service for transportation of children- $1,250.59Operating supplies- $2,620.34","3,871"
"155,469",Advance Advertising Service,"6,220"
"155,469",Sylvania Community Action Team,"3,000"
"155,460",Anti-Drug Events at 15 Local High Schools,"5,705"
"155,405",DVD to use for training.  Recognizing and Preventing Violence in the workplace.,223
"155,405",Neighborhood Watch Signs.  These signs are needed to be pro active in crime prevention.,370
"155,405","Police mugs w/patch for Citizen Academy. These items are used to demonstrate the appreciation of the Town and BPD to members of other law enforcement and non-law enforcement agencies, organization, companies and private citizens that have demonstrated significant support and or provided/rendered service on behalf of the residents of the Town of Bedford to the Bedford Police Department.",234
"155,386","DARE Supplies,  Area School Programs",975
"155,336",100Black Men of L.I.,"35,625"
"155,336",Center for Court Innovations,"8,176"
"155,336",Center for Peaceful Solutions,"33,547"
"155,336",Family & Children Assoc,"22,977"
"155,336",Fund for City of NY,"4,215"
"155,336",MADD -L.I.,"25,000"
"155,336",Molley College,"23,871"
"155,336",NAACP Lakeview,667
"155,336",National Mentoring Partnership,"2,025"
"155,336","Uniondale Community Council, Inc","4,000"
"155,208",Red Ribbons Drug Demand Reduction,600
"155,194",Gwinnett Coalition for Health and Human Services,"4,505"
"155,163",Parents for Megan's Law,"48,049"
"155,163",Parents for Megan's Law,"1,978"
"155,147",Drug Drop Box,284
"155,138",Drug Education materials for community and two school districts,"6,000"
"155,122",Donation to Ohio Crime Prevention Association,100
"155,096","Mercy Health Foundation, Ozark Trails Council, Boy Scouts & related expenses for fairs/expos","4,014"
"155,082",Community Dare Program,"2,391"
"155,052","DARE supplies and training materials, student workbooks and curriculum",750
"155,030",Boy Scouts of America Explorer Post 007,134
"154,969",Crime Stoppers of Michigan,"2,000"
"154,969",Greater West Bloomfield Community Coalition,"8,850"
"154,969",West Bloomfield Youth Assistance,"4,181"
"154,962",D.A.R.E. T-shirts,856
"154,957",Kinderprint,188
"154,957",Red Ribbon Week,"1,040"
"154,957",Safe Night,665
"154,952",BEDS homeless program - Drug awareness,250
"154,945",Neighborhood Watch and Business Crime Prevention,274
"154,909","Purchase Signs to indicate ""No Cell Phone Zone&quot; for school zone areas",538
"154,829","National Law Enforcement  Museum (Officers Memorial Fund, Inc.)",50
"154,821",Franklin County Adult Treatment Court,"7,000"
"154,793",NATIONAL LAW ENFORCEMENT OFFICERS MEMORIAL FUND,250
"154,777",Warren County DARE Program,300
"154,758",4Imprint.com to purchase water bottles to support Sheriff's Office Youth and Anti-Crime activities,507
"154,758",Washington County EOC to support school anti-drug assembly,500
"154,688","Game Changer  -Dream Catalyst Anti Violence Experience, Helping youth against violent video games",500
"154,591",EAST BLUFF COMMUNITY CENTER FOR AMERN CILCO,"4,414"
"154,591",ELITE PROGRAM-SHIRTS,"3,905"
"154,575",Leveling Kit for Sheriff's Truck,200
"154,575",Muffler's For Sheriff&apos;s Truck,500
"154,555",Child ID Kits,"1,666"
"154,555",DARE products,603
"154,555",Drug Screenings,275
"154,555",Phelps County Drug Court Program,"14,204"
"154,555",St. James School District ( DARE Program),"2,500"
"154,555",Teen-Saver (Drug Awareness Program),"1,249"
"154,553",Drug education materials,"4,867"
"154,549",Children's Advocacy Center,"5,000"
"154,549",Laredo Crime Stoppers,"17,000"
"154,549",Laredo Independent School District - Crime Stoppers,"5,000"
"154,549",PILLAR,"5,000"
"154,549",United Independent School District - Crime Stoppers,"5,000"
"154,549",Voz De Nino's,"2,000"
"154,539",Drug Education Program / Big Brothers & Big Sisters of Cincinnati,"2,000"
"154,539",Drug Education Program / Harveysburg Police Department,500
"154,530",AIM=aim for success/power to succeed/anti drug rally,600
"154,520",National Law Enforcement Memorial Museum,"1,000"
"154,495",Bethlehem Police Department Explorer Post,"1,276"
"154,475",Greater Cincinati Crime Stoppers,375
"154,462",Forest Park Community Center  (Van for Youth Programs),"16,542"
"154,462",Will County Child Advocacy Center,"12,565"
"154,439",St. Louis Regional Crime Commission,500
"154,332",100 Men of Lorain County,"4,500"
"154,260",Mothers Against Drunk Driving,"1,000"
"154,221",Career Day,460
"154,214",Phelps County Drug Court,"14,017"
"154,214",St. James R1 School District Anti Drug Campaign,"2,500"
"154,138",Project Safe Neighborhood,450
"154,117",Dan The Man / Niagara Falls Block Club shirts,"1,532"
"154,067",Coos County Child Advocacy Center,500
"154,049","Drug Prevention in the community, Drug awareness youth supplies","1,737"
"153,941",Boys Scouts of America Explorer Unit Annual Chartering,568
"153,940",Boys Scouts of America Explorer Unit,305
"153,910","""GUIDE&quot; drug education & awareness program for 8th graders, non-profit","9,552"
"153,712",ALBANY COUNTY TRAFFIC SAFETY HOLIDAY PROGRAM,300
"153,712",CARNIVAL ON THE HILL,155
"153,712",EXPLORERS POST # 043 - UNIFORMS,625
"153,712",MAKE A PLAY INC  - DAY AT THE PARK 8/18/2013,200
"153,712",T/O BERNE 8/24/13 SUMMERFEST - FIREWORKS,"1,100"
"153,699",Jefferson County Drug Court Donation,"5,000"
"153,673","""Not Even Once&quot; anti-heroin pubic ad campaign","3,822"
"153,579","Shared program with the Moon Township Police and Moon Township Parks Department for a Bicycle rodeo, bicycle helmets were purchased for children.",977
"153,504",Second Baptist Church Neighborhood Watch Meetings,225
"153,462",National Law Enforcement Museum,"1,000"
"153,405",Operation Crackdown (Demolish Crackhouses),"23,814"
"153,405",Texas Challenge Academy,"61,112"
"153,367",Drug Abuse Resistance Education,652
"153,295",Donation to LULAC,"5,000"
"153,295",Donation to PDAP,"2,500"
"153,243",Teen Maze drug education program,"2,544"
"153,201",Georgia Sheriff's Youth Homes,"2,000"
"153,201",Troup County Active Life Center,"1,507"
"153,064",Hult Center,"7,500"
"153,042","Children's Advocacy Center (To break the cycle of child abuse through community education, training and prevention and to allow the child a chance to heal through intervention in a child-sensitive environment. Reimbursement for RADKIDS Training)","36,500"
"153,042","Drug Free Campaign (Anti-drug abuse, domestic violence, DWI and Child Abuse awareness pamphlets and give away items to be used during different events e.g. for schools, conferences, outdoor events","9,983"
"153,042","Voz de Ninos Organization (Advocates for Best Interest of Neglected Children - Reimbursement for Supplies, Equipment, Training, Utilities)","5,707"
"152,999",Constant Contact Email Distribution for Community Re-Entry Conference (Sept 2013),144
"152,995",Family Concepts,"3,637"
"152,995",Imperial Scott,403
"152,979",Minuteman Youth Camp Drug free T-Shirts,"1,844"
"152,894",Central Daytona Police Athletic League,"25,000"
"152,894",Self Defense for Women - Instructor,990
"152,874",Youth Rally Community Program,895
"152,859",Expenses for Amarillo Area CASA (Court Appointed Special Advocate) program,300
"152,859",Expenses for Canyon Chamber of Commerce,400
"152,859",Expenses for Canyon Fire Department,260
"152,859",Expenses for Canyon Rotary Club,300
"152,859",Expenses for Canyon Volleyball Club community program,500
"152,859",Expenses for Celebrating Life -March of Dimes,"3,636"
"152,859",Expenses for Randall County Student Academy,"1,458"
"152,859",Golden Spread Council - Expenses for Explorer post program,"2,000"
"152,859",Sponsorship - 100 Club of Texas Panhandle - First responders,"2,000"
"152,859",Sponsorship Amarillo Crimestoppers - Law Enforcement,500
"152,859",Sponsorship Texas Narcotic Officers Association,300
"152,859",Sponsorship for District 2T1 Lions Club,150
"152,859",Sponsorship of Sharing Hope Jail Ministry,"1,000"
"152,859",Sponsorship of United Way Community Program,"1,160"
"152,837",Hillsboro Boys and Girls Club,"5,000"
"152,822",Youth Ringside Boxing,467
"152,816",Boys and Girls Club,107
"152,801",Vidal M Trevino Magnet School of Communication and Fine Arts,"2,375"
"152,793",GUN BUY BACK,"4,725"
"152,777",FY 2013 Support Kootenai County Mental Health Drug Court,"7,297"
"152,773",RED RIBBON WEEK,542
"152,773",SAN BENITO SCHOOLS,211
"152,773",THE SHAKEN BABY ALLIANCE,75
"152,771",Kid Print Program,646
"152,771",Potter County Student Academy Expenses,689
"152,731",Crime Stoppers,"2,000"
"152,729",NATIONAL LAW ENFORCEMENT MUSEUM,"5,000"
"152,719",Domestic Violence Awareness & Community Outreach,"1,206"
